,nue,alb,Ratio,Spread
1067,131.0500030517578,260.8800048828125,1.9906905670179855,-22.739282092123464
1068,130.82000732421875,260.1199951171875,1.9883808328531671,-22.40042840115942
1069,132.19000244140625,261.4649963378906,1.977948343361186,-21.236766647845517
1070,133.1199951171875,265.1499938964844,1.9918119262479608,-23.21881055166347
1071,133.5800018310547,265.2200012207031,1.985476849716922,-22.446477785468662
1072,133.4199981689453,265.42718505859375,1.9894107982409963,-22.946651910554582
1073,133.81500244140625,265.9150085449219,1.987183826128602,-22.71116435696047
1074,134.3699951171875,265.94000244140625,1.9791621054199875,-21.71988486741896
1075,134.52999877929688,266.760009765625,1.9829035321947635,-22.246901904442414
1076,132.99000549316406,267.5,2.011429347701997,-25.806846815070063
1077,134.94000244140625,268.05999755859375,1.9865124700512065,-22.796112564382586
1078,133.97999572753906,271.8800048828125,2.029258199378556,-28.37403367068146
1079,134.74000549316406,272.5,2.0224134547317134,-27.60233889423714
1080,135.3000030517578,274.8399963378906,2.0313376950387285,-28.91689716803589
1081,135.8300018310547,278.4849853515625,2.050246496336958,-31.591380303828547
1082,135.63999938964844,279.2383117675781,2.05867231660345,-32.692629193252124
1083,136.22999572753906,285.7900085449219,2.097849354091619,-38.16395572029135
1084,139.06500244140625,289.04998779296875,2.0785243067518535,-36.23261984250852
1085,137.95700073242188,287.7850036621094,2.086048566830547,-36.9965501417845
1086,139.3000030517578,291.19000244140625,2.0903804455281505,-37.94231373821908
1087,138.66000366210938,290.2300109863281,2.0931054617131615,-38.15425549083049
1088,138.61000061035156,290.55999755859375,2.096241225590864,-38.57580502048109
1089,139.4199981689453,291.30999755859375,2.0894419838220935,-37.842580110555936
1090,141.25999450683594,295.8900146484375,2.094648351654287,-39.053292720928745
1091,140.89999389648438,298.94000244140625,2.1216466670753005,-42.76249468954112
1092,141.69000244140625,296.2900085449219,2.091114428962256,-38.66587871321227
1093,142.74000549316406,298.6700134277344,2.0924057862813936,-39.12317325530663
1094,142.58999633789062,299.3900146484375,2.0996565140445282,-40.117863348164725
1095,143.6999969482422,300.6131896972656,2.0919498683464854,-39.30846368384946
1096,143.57000732421875,300.29998779296875,2.091662411876964,-39.23329193944355
1097,143.84500122070312,295.010009765625,2.050888159213733,-33.43975955811985
1098,141.69000244140625,294.1549987792969,2.076046253869889,-36.53086894758727
1099,140.94000244140625,294.0899963378906,2.0866325474923575,-37.83922704368084
1100,141.80999755859375,296.239990234375,2.088992280759141,-38.39613165781473
1101,141.50999450683594,296.3399963378906,2.094127678900979,-39.045487564548615
1102,141.8323974609375,297.8800048828125,2.100225408407501,-39.995128783688564
1103,141.72000122070312,296.9800109863281,2.095540561870556,-39.30094896840584
1104,139.14999389648438,306.75830078125,2.2045153736007475,-53.785300950217795
1105,139.51499938964844,300.8999938964844,2.1567573036079604,-47.25861521174259
