,wmt,pep,Ratio,Spread
645,147.9250030517578,171.72000122070312,1.16085852748382,11.41808683362364
646,147.3300018310547,172.19500732421875,1.1687708218566175,10.201427616708536
647,147.05999755859375,171.85000610351562,1.1685707123383073,10.20987573073878
648,147.0500030517578,171.8000030517578,1.1683100951129435,10.247420896942991
649,148.36000061035156,173.36000061035156,1.1685090313908753,10.320300270481617
650,148.00999450683594,173.72000122070312,1.1737045312347454,9.524026410010627
651,147.58999633789062,174.60000610351562,1.1830070495007576,8.12050503885839
652,147.52999877929688,175.22000122070312,1.187690657293573,7.425724569004153
653,147.74989318847656,175.5,1.1878181175814735,7.419818291558833
654,148.8300018310547,175.85000610351562,1.1815494452733586,8.416138732770456
655,148.72000122070312,176.0800018310547,1.1839698788715638,8.049030185451521
656,148.26910400390625,175.4600067138672,1.1833888650817272,8.10699397728245
657,148.25999450683594,175.47000122070312,1.1835289877379065,8.085644725903755
658,135.8699951171875,174.60000610351562,1.285051978937098,-6.488163131785321
659,133.58999633789062,174.7050018310547,1.3077700922243567,-9.435116378695916
660,132.56539916992188,174.36000061035156,1.3152753410930216,-10.367248133797979
661,132.5500030517578,174.2050018310547,1.3142587538306696,-10.231440204155412
662,131.02340698242188,173.35000610351562,1.3230460884502286,-11.279305661318467
663,131.69610595703125,174.3800048828125,1.3241090434344946,-11.470803154332124
664,131.35000610351562,174.47999572753906,1.3283592510078235,-12.002198212992262
665,125.16000366210938,168.72999572753906,1.348114339969614,-13.967870757653778
666,123.43499755859375,166.52000427246094,1.3490501686396925,-13.908053290107297
667,122.62449645996094,166.31399536132812,1.356286877113763,-14.712312328516425
668,123.0613021850586,164.6300048828125,1.3377885814603458,-12.48385519229118
669,123.0999984741211,164.99000549316406,1.3402925064036404,-12.79562191292684
670,121.57499694824219,163.7899932861328,1.3472341961551741,-13.49648333481094
671,122.41999816894531,163.66000366210938,1.3368731098676454,-12.313222281494923
672,119.6698989868164,161.58999633789062,1.3502977583000417,-13.671140059972522
673,120.16999816894531,161.0,1.3397686814778207,-12.457783462423727
674,119.68499755859375,161.14999389648438,1.3464510772755018,-13.21231765252768
675,119.07499694824219,160.2989959716797,1.3462019742176115,-13.121669179289121
676,119.29000091552734,161.00999450683594,1.3497358812232025,-13.564671017662398
677,119.25499725341797,161.3699951171875,1.353150801507083,-13.96830275696042
678,119.07499694824219,161.1999969482422,1.3537686422810515,-14.022670155851621
679,118.7750015258789,160.35000610351562,1.3500316063441875,-13.546615584295047
680,119.1500015258789,160.22999572753906,1.3447754399964296,-12.959177734478779
681,118.2699966430664,160.55999755859375,1.3575716759606977,-14.386082123772503
682,117.47000122070312,160.4600067138672,1.365965821455933,-15.283264184002185
683,118.06500244140625,161.38999938964844,1.3669588451475592,-15.471603746383984
684,118.76000213623047,161.9149932861328,1.363379844843712,-15.130299105078912
685,119.08999633789062,162.1999969482422,1.3619951459905733,-15.003973817684944
686,121.30999755859375,165.66000366210938,1.3655923419015337,-15.696808364847335
687,122.33499908447266,166.55999755859375,1.3615073266447946,-15.319165264202617
688,123.39309692382812,166.22999572753906,1.3471579842927082,-13.67027276614747
689,122.83000183105469,165.80999755859375,1.3499144759979362,-13.952157575193134
690,123.12000274658203,166.1300048828125,1.3493339926637102,-13.910686511795497
691,122.2699966430664,165.8300018310547,1.356260786651935,-14.670193341943367
692,122.5999984741211,165.6699981689453,1.3513050589793898,-14.098851220494346
