,hon,noc,Ratio,Spread
1343,172.7899932861328,492.3500061035156,2.849412727785718,-73.78448321158386
1344,171.82000732421875,488.92999267578125,2.845594062588918,-72.72783608697377
1345,174.5399932861328,493.010009765625,2.8246248924589286,-70.18061997988151
1346,175.6300048828125,489.57501220703125,2.7875362899049945,-64.08981421502871
1347,177.22000122070312,496.1300048828125,2.7995147357264196,-66.77078817857354
1348,176.5601043701172,496.94000244140625,2.81456563595866,-69.18862135690672
1349,177.63999938964844,500.8399963378906,2.8194100318549986,-70.45745604049308
1350,177.47999572753906,501.3800048828125,2.824994461080071,-71.38731276699032
1351,175.07000732421875,477.1098937988281,2.725252035405758,-52.989127264370275
1352,175.33999633789062,475.2900085449219,2.7106765054848623,-50.51141502927067
1353,174.61000061035156,471.9649963378906,2.7029665808838597,-48.96503403096961
1354,174.44000244140625,471.44000244140625,2.702591124990159,-48.85423988567067
1355,174.33999633789062,468.2749938964844,2.6859871729543605,-45.93289574872558
1356,174.67999267578125,466.8912048339844,2.6728373277446167,-43.72070718385471
1357,174.14999389648438,464.239990234375,2.6657479558128583,-42.360832154990824
1358,176.86000061035156,476.9800109863281,2.6969354819645446,-48.49793410164916
1359,177.69000244140625,474.3699951171875,2.6696493252264557,-43.86562261580156
1360,177.44000244140625,473.4100036621094,2.6680004347860486,-43.51475500269658
1361,176.99000549316406,474.54998779296875,2.681224775775813,-45.75115461351374
1362,176.61000061035156,475.5249938964844,2.6925145362839245,-47.65204085377855
1363,176.97500610351562,476.2300109863281,2.690945018008776,-47.46772375027275
1364,177.07000732421875,475.3599853515625,2.684587822268335,-46.36622808131984
1365,178.75,484.29998779296875,2.7093705610795453,-51.212936150091885
1366,178.16000366210938,493.04998779296875,2.7674560937260995,-61.4004594944359
1367,178.6999969482422,499.94000244140625,2.7976497536606364,-66.97478300251778
1368,179.52999877929688,506.6400146484375,2.822035415213641,-71.65249959284206
1369,179.9499969482422,507.8999938964844,2.8224506946925274,-71.88915524773041
1370,179.00999450683594,506.04998779296875,2.82693706117981,-72.32946073850867
1371,179.92999267578125,506.92999267578125,2.8173734969757187,-70.96789434421642
1372,180.0800018310547,514.8200073242188,2.858840526929839,-78.49241238068875
1373,180.31500244140625,509.9700012207031,2.828217254892138,-73.06982837859961
1374,179.7100067138672,507.8900146484375,2.8261643518665926,-72.46391109407763
1375,178.30999755859375,507.5899963378906,2.846671545554216,-75.57500860536148
1376,179.05999755859375,508.4200134277344,2.8393835605932267,-74.5776541692859
1377,179.13499450683594,509.2879943847656,2.843040221073782,-75.262905409319
1378,179.30999755859375,511.1000061035156,2.8503709389461216,-76.64852300309401
1379,180.35000610351562,514.375,2.8520930556817605,-77.38954089730773
1380,179.05999755859375,513.0,2.8649615044931025,-79.15764074155153
1381,178.8000030517578,512.9299926757812,2.868735927970324,-79.721108828916
1382,178.1300048828125,513.3599853515625,2.8819399948329303,-81.78354893982892
1383,177.5102996826172,511.9549865722656,2.884086092399286,-81.88845901026674
1384,177.55999755859375,511.8599853515625,2.8827438183685024,-81.67236914495267
1385,177.5800018310547,512.6599731445312,2.8869240221782606,-82.42361662073223
1386,178.5800018310547,515.3200073242188,2.885653500058402,-82.64715543252733
1387,179.3000030517578,514.6900024414062,2.8705521119976374,-80.26287091059477
1388,179.88229370117188,521.219970703125,2.897561288433412,-85.37409070224909
1389,180.91000366210938,523.4774780273438,2.8935795004739324,-85.12758746710678
1390,181.88999938964844,522.89501953125,2.8747870761772543,-82.1573739203097
1391,183.22500610351562,523.9000244140625,2.859326003340819,-79.90964112867955
1392,182.83999633789062,522.5900268554688,2.858182221190356,-79.53771808062443
1393,185.07330322265625,531.244873046875,2.8704565369309365,-82.751122392217
1394,185.83999633789062,528.5599975585938,2.844167068307386,-78.19820268007221
1395,186.60000610351562,527.5399780273438,2.8271166172132545,-75.3264228753239
1396,186.84820556640625,525.9099731445312,2.8146375371939105,-73.091681150865
1397,187.27999877929688,525.4000244140625,2.8054251806848236,-71.52967025730085
1398,187.47000122070312,526.3599853515625,2.8077024693241124,-72.02669112642629
1399,186.97000122070312,526.2000122070312,2.814355291070968,-73.08496566584121
1400,188.5,522.239990234375,2.7705039269728116,-65.39710875454712
1401,188.22999572753906,522.8599243164062,2.7777715358036796,-66.67490699574059
1402,188.94000244140625,525.1699829101562,2.77955952219817,-67.25503751998066
1403,188.48500061035156,526.1199951171875,2.7913096183436736,-69.31365958075925
1404,188.9199981689453,526.2249755859375,2.785438178521211,-68.35877051295104
1405,189.3699951171875,526.3200073242188,2.779321016502731,-67.3573867712745
1406,189.64999389648438,526.9000244140625,2.778275989302997,-67.25518813234585
1407,191.69000244140625,533.27001953125,2.781939656421332,-68.65471187937028
1408,192.65499877929688,531.9299926757812,2.7610495239999118,-64.96347591659789
1409,192.625,531.010009765625,2.7567034900227125,-64.1165848932409
1410,191.13999938964844,530.2949829101562,2.7743799550251302,-67.01975514621115
1411,191.1300048828125,530.0800170898438,2.773400322020876,-66.82914089550873
1412,190.07000732421875,531.1599731445312,2.7945491275669077,-70.49177609168721
1413,190.36000061035156,531.02001953125,2.7895567232015113,-69.64525518002343
1414,198.41000366210938,533.719970703125,2.6899851864931454,-52.73141120477073
1415,197.52000427246094,530.5499877929688,2.686056988238635,-51.72990768491997
1416,197.25999450683594,525.3200073242188,2.6630843655732437,-47.133439805722055
1417,198.58999633789062,527.260009765625,2.6550179741607898,-45.83289894647516
1418,197.3699951171875,533.0,2.7005117960485014,-54.54541650391639
1419,197.1699981689453,534.6849975585938,2.7117969393114687,-56.71770570049484
