,v,ma,Ratio,Spread
150,211.64125061035156,340.73028564453125,1.609942696246125,6.504959132761005
151,209.6293182373047,342.7170715332031,1.6348718510129407,1.2015682201159483
152,210.5058135986328,351.8822937011719,1.671603684884916,-6.518779876629562
153,211.2627716064453,353.22015380859375,1.6719469839513246,-6.60881934888479
154,210.51576232910156,349.9753723144531,1.6624663561644988,-4.595458331586965
155,205.43614196777344,348.4478454589844,1.6961370191309622,-11.441520288521613
156,207.6472625732422,353.5596008300781,1.702693290769336,-12.908315318526629
157,212.61734008789062,355.4964599609375,1.672001257347986,-6.65216345386423
158,215.00775146484375,356.93414306640625,1.6600989528731902,-4.149331217776503
159,212.46795654296875,351.5927734375,1.654803760332656,-2.9947308414548637
160,209.42015075683594,345.9818115234375,1.652094176577914,-2.4079775527918876
161,211.25282287597656,352.810791015625,1.67008793640005,-6.215856714239887
162,210.6092529296875,350.0152893066406,1.6619179092928753,-4.481259112041155
163,210.85870361328125,353.6993408203125,1.6774234819777873,-7.754099293998333
164,215.93734741210938,359.3702087402344,1.6642336911474052,-5.0529882330087865
165,216.65574645996094,358.67132568359375,1.6554895567927066,-3.16984773151486
166,214.04159545898438,354.75762939453125,1.6574237761300536,-3.565494270975673
167,214.76995849609375,356.78436279296875,1.661239613264897,-4.391544912619022
168,212.3453826904297,353.7093505859375,1.665726591764875,-5.313366995744072
169,208.14476013183594,344.9534912109375,1.6572768442138484,-3.4820971687261952
170,206.33880615234375,340.3409118652344,1.649427551761419,-1.846574170288559
171,206.20909118652344,339.1628112792969,1.6447519812427285,-0.8823044829873903
172,209.35206604003906,344.1148376464844,1.6437135976516783,-0.6532391151653452
173,202.43751525878906,331.42529296875,1.637173290459861,0.6378936841011613
174,201.87876892089844,328.8194885253906,1.6287967787946587,2.322622977917465
175,200.93089294433594,327.281982421875,1.6288285869139207,2.2975863895980844
176,198.266845703125,323.8475036621094,1.6333921211770457,1.3404699930506216
177,199.68368530273438,324.7261047363281,1.6262024824112231,2.7974828774224854
178,197.31895446777344,322.0404357910156,1.6320805908365583,1.5849700186922495
179,198.19700622558594,323.5579833984375,1.6325069160235797,1.5148621514338492
180,199.9730224609375,328.0906677246094,1.6406746454447285,-0.09011722414637924
181,200.26239013671875,329.538330078125,1.6455327925186043,-1.0607663837154429
182,204.74237060546875,335.30902099609375,1.637711920617654,0.5536446674524063
183,206.169189453125,337.8749084472656,1.6388234796067114,0.33982164042905416
184,199.22470092773438,324.9158020019531,1.630901190911117,1.8511648105998437
185,198.9652862548828,325.32513427734375,1.6350848954655774,1.0141958915535587
186,194.9342803955078,316.4494323730469,1.6233647141538854,3.244915855119448
187,192.86891174316406,314.6224060058594,1.6312758918079533,1.6672492313857992
188,192.6992950439453,313.524169921875,1.6270125422637143,2.4858777081190944
189,191.64166259765625,312.765380859375,1.6320322868207056,1.5011941112636327
