,ups,unp,Ratio,Spread
182,228.7550048828125,248.41600036621094,1.085947826555622,24.382197113652946
183,230.97000122070312,250.7899932861328,1.0858119754110003,24.661261186757283
184,230.33999633789062,250.52000427246094,1.0876096564010005,24.176649016041633
185,229.7449951171875,250.75,1.0914274753715454,23.23397845358667
186,230.06500244140625,250.30999755859375,1.087996848292228,24.057276187547043
187,231.10870361328125,251.3000030517578,1.087367109601649,24.31738503782682
188,232.11000061035156,251.22999572753906,1.0823747148632543,25.58671624115558
189,228.82029724121094,250.47999572753906,1.0946581170790786,22.396407004892037
190,230.75,251.22000122070312,1.0887107311839788,23.967742307687356
191,230.6800994873047,249.66310119628906,1.0822914579592033,25.440917568836564
192,230.72999572753906,248.3800048828125,1.0764963788068358,26.78377812066199
193,229.5850067138672,247.38609313964844,1.077535927457,26.406255944186594
194,229.55499267578125,246.00999450683594,1.0716821779358787,27.74640465136238
195,228.6699981689453,244.35000610351562,1.0685704642503457,28.34637285284938
196,224.61500549316406,242.02999877929688,1.0775326352213046,25.80943008143205
197,224.44000244140625,242.38999938964844,1.0799768167572015,25.239816000247767
198,224.63499450683594,243.00999450683594,1.0817993654120566,24.853376602283472
199,225.76499938964844,242.47000122070312,1.0739928770013791,26.746856260025563
200,226.49000549316406,243.2100067138672,1.073822247406885,26.87524159894323
201,226.77000427246094,244.11500549316406,1.0764871936054794,26.305617062368494
202,224.77000427246094,242.42999267578125,1.0785691509882844,25.59508913086435
203,226.24000549316406,241.91000366210938,1.0692627200692797,27.875802057090166
204,226.30999755859375,242.44000244140625,1.071273938654152,27.429637700211085
205,225.10670471191406,241.55999755859375,1.073091083038758,26.868374059490886
206,226.1300048828125,242.22000122070312,1.0711537433797385,27.434049026246637
207,226.71290588378906,242.09719848632812,1.0678580363238117,28.25503331082481
208,226.08999633789062,241.44000244140625,1.0678933449163983,28.16612675571147
209,225.0500030517578,241.14999389648438,1.0715396162026438,27.210462152883363
210,224.0,243.83999633789062,1.088571412222726,23.26279716300635
211,225.17999267578125,243.9250030517578,1.0832445642849187,24.591150718250244
212,225.5800018310547,244.02670288085938,1.081774540739742,24.96857000484138
213,225.2899932861328,243.8927001953125,1.0825722733523857,24.755209046945335
214,224.99899291992188,243.17999267578125,1.0808048050345278,25.119364948876946
215,225.99000549316406,243.8350067138672,1.0789636744410935,25.651356411721533
216,225.1999969482422,243.00999450683594,1.0790852477794972,25.53011978808811
217,227.44000244140625,245.0,1.0772071639557672,26.22312651322667
218,226.8300018310547,245.1049041748047,1.0805665132311788,25.387581678950394
219,226.33999633789062,244.50999450683594,1.080277451899488,25.39557728389266
220,226.1199951171875,244.889892578125,1.0830085700789527,24.75216826810404
221,225.57000732421875,246.10499572753906,1.0910359876603841,22.87830603396642
222,225.2100067138672,246.02999877929688,1.092447011432675,22.522104916347953
223,225.07000732421875,246.5500030517578,1.0954369530747676,21.834413522525917
224,222.10000610351562,245.2949981689453,1.1044349006213852,19.53203893111927
225,222.0800018310547,244.85000610351562,1.1025306379895612,19.95307047163291
226,223.16000366210938,244.83999633789062,1.097149992471802,21.256674434839933
227,221.4199981689453,242.97000122070312,1.097326362704217,21.042542520946622
228,221.39450073242188,242.44500732421875,1.0950814339207033,21.53699634333898
229,220.77499389648438,242.39999389648438,1.0979504047009028,20.83998283622216
230,220.6999969482422,242.1199951171875,1.0970548186005125,21.03015249274088
231,218.67999267578125,244.08999633789062,1.1161972037367986,16.640649998234803
232,216.6199951171875,242.3699951171875,1.118871759673292,15.893247171828387
233,217.5800018310547,242.9199981689453,1.116462892382759,16.49311172120755
234,216.4199981689453,241.61000061035156,1.1163940608748273,16.41369125908076
235,213.56500244140625,238.8000030517578,1.118160748820608,15.804059516065502
236,213.38999938964844,238.61000061035156,1.1181873625420073,15.78444848663903
237,213.47999572753906,238.80999755859375,1.118652812150994,15.69224648573063
238,212.85000610351562,239.88999938964844,1.127037784875526,13.857661746813898
239,213.33999633789062,239.33999633789062,1.1218711936172572,14.994560585072685
240,214.11000061035156,240.4199981689453,1.1228807504721559,14.836847059766649
241,214.36000061035156,241.6199951171875,1.1271692220060552,13.936292705135338
242,213.81500244140625,241.0800018310547,1.1275167742128858,13.823503330379504
243,213.92999267578125,242.68499755859375,1.1344131532149948,12.35623949892513
244,214.0500030517578,242.5500030517578,1.1331464592089198,12.634978878731625
245,217.97999572753906,247.99000549316406,1.137673228524766,11.902205236155988
246,218.20199584960938,248.73500061035156,1.1399299976237904,11.423115288307168
247,218.36000061035156,248.5800018310547,1.1383953156999145,11.767367489042067
248,218.38999938964844,249.00999450683594,1.1402078630100443,11.37330646237208
249,218.8300018310547,249.52000427246094,1.140245862928339,11.390318585746309
250,217.6999969482422,249.60000610351562,1.1465319687756248,9.956830383082286
251,217.22999572753906,249.30999755859375,1.1476775880955734,9.683885389893726
252,213.89500427246094,249.9499969482422,1.1685639774449998,5.0493320363305205
253,215.31500244140625,251.0,1.1657339114969694,5.700160723099396
254,215.3300018310547,252.0399932861328,1.170482474076605,4.678133261522214
255,214.8000030517578,251.61000061035156,1.1713687012831377,4.473309100970448
256,216.09500122070312,253.30499267578125,1.172192745065281,4.329427477262039
