,pep,cost,Ratio,Spread
973,168.02000427246094,504.6000061035156,3.003213863066312,-11.428642913859894
974,168.72000122070312,508.04998779296875,3.01120189732803,-12.811695850095864
975,166.32000732421875,505.9700012207031,3.042147540520377,-17.818335019051165
976,166.80999755859375,504.7200012207031,3.0257179342228273,-15.12150741963301
977,165.8300018310547,501.1449890136719,3.02204054441386,-14.440195467105744
978,166.5800018310547,505.81048583984375,3.036441831432061,-16.891116117187654
979,165.92999267578125,504.2799987792969,3.0391130057158158,-17.279955442652682
980,165.57000732421875,500.875,3.0251553895216534,-14.937909974438062
981,165.85000610351562,503.5,3.0358756796532127,-16.736138473151232
982,166.22000122070312,502.9670104980469,3.0259114836018965,-15.110639142140647
983,165.83999633789062,501.1199951171875,3.0217077073264087,-14.385690108313886
984,165.58999633789062,500.32000732421875,3.021438603714339,-14.32389437404179
985,165.4199981689453,501.1499938964844,3.0295611137938367,-15.655846139541032
986,166.39999389648438,502.9949951171875,3.0228065719166746,-14.607147105740173
987,166.38999938964844,504.2099914550781,3.030290241628827,-15.85165490593828
988,166.86000061035156,503.989990234375,3.0204362243248655,-14.24384901043202
989,167.57000732421875,502.75,3.0002385750766627,-10.907373504864713
990,167.55999755859375,501.8800048828125,2.995225663615273,-10.066934905652365
991,167.3000030517578,499.9649963378906,2.9884338745840657,-8.919629881734684
992,167.83999633789062,503.0150146484375,2.9969913347458745,-10.375173169990537
993,167.5500030517578,501.1382141113281,2.9909770515284424,-9.35465559647553
994,168.3800048828125,504.7699890136719,2.997802437201358,-10.535627457266221
995,168.74000549316406,506.70001220703125,3.0028445876017145,-11.402652283875673
996,167.6750030517578,500.4997863769531,2.984939777949246,-8.347131832752202
997,167.5500030517578,498.43310546875,2.9748319689064955,-6.649546953897405
998,167.75,498.6199951171875,2.9723993747671384,-6.245891966511115
999,167.38999938964844,496.54998779296875,2.9664256502988904,-5.238883009042231
1000,167.8000030517578,496.739990234375,2.960309780692649,-4.21823966082575
1001,168.17999267578125,498.3900146484375,2.9634322532599806,-4.746242783523305
1002,168.9199981689453,499.55999755859375,2.9573762903961134,-3.731160979897074
1003,170.8000030517578,506.2998962402344,2.9642850538287724,-4.919840962325102
1004,170.74000549316406,501.8525085449219,2.9392789762151823,-0.6496121521930056
1005,171.88999938964844,502.54998779296875,2.9236720552529905,2.0485740474977185
1006,171.65499877929688,501.42999267578125,2.9211499591718164,2.4746668272836794
1007,169.90499877929688,497.156005859375,2.9260822779273874,1.581309232813235
1008,169.89999389648438,498.6600036621094,2.9350207273458166,0.06253317109128398
1009,168.42999267578125,493.0,2.927032128707615,1.3819639236108494
1010,168.77999877929688,488.5400085449219,2.8945373390110953,6.875442283131358
1011,168.77999877929688,486.42999267578125,2.882035763679887,8.985458152271983
1012,169.41000366210938,487.31878662109375,2.876564406391596,9.956922612688752
1013,169.63999938964844,487.0566101074219,2.8711189098079095,10.89822320477459
1014,168.9600067138672,485.9700012207031,2.8762427906604584,9.976971318558876
1015,169.19000244140625,488.6700134277344,2.888291307856504,7.956083189941646
1016,168.60000610351562,487.0690002441406,2.8889026252175465,7.81497392837151
1017,168.6199951171875,476.8399963378906,2.8278971067843788,18.103000759236533
1018,168.27999877929688,473.94000244140625,2.8163775010658845,19.999064269253676
1019,167.57000732421875,468.7699890136719,2.7974575910036434,23.072637481463413
1020,167.57000732421875,468.30999755859375,2.794712520674989,23.53262893654154
1021,167.02000427246094,465.8550109863281,2.789216854685116,24.363583968540933
1022,167.8800048828125,465.6156005859375,2.773502424609514,27.14237685307479
1023,168.5399932861328,466.4200134277344,2.7674144535883913,28.286756803929745
1024,169.4199981689453,479.92999267578125,2.832782421572192,17.375228020308736
1025,168.85499572753906,476.92999267578125,2.824494416767779,18.706906758747447
1026,168.4199981689453,477.6650085449219,2.8361537450307237,16.687443916381493
1027,167.6699981689453,477.5,2.847855938537484,14.637876285213347
1028,167.9199981689453,479.9800109863281,2.8583850418067382,12.896057357581876
1029,168.38999938964844,481.85760498046875,2.861557139539311,12.406268038244386
1030,168.4499969482422,480.3299865722656,2.851469250663456,14.111045331627915
1031,168.1999969482422,481.7900085449219,2.864387736541852,11.91283130027501
1032,167.67999267578125,479.67999267578125,2.8606871041750916,12.487395071739636
1033,166.4600067138672,478.1600036621094,2.872521833331607,10.405048290185968
1034,165.6750030517578,477.7449951171875,2.8836275015364703,8.502122957440074
1035,165.92999267578125,478.54998779296875,2.884047543641077,8.450055543675441
1036,165.9199981689453,478.010009765625,2.880966821605791,8.960522108711709
1037,166.0399932861328,478.32000732421875,2.8807517867092485,9.00484232047871
1038,166.9199981689453,482.4849853515625,2.8905163589998564,7.438314757560827
