,dhr,unh,Ratio,Spread
673,264.8999938964844,485.9599914550781,1.8345035962702887,17.413747650189375
674,265.3399963378906,486.69500732421875,1.8342316048894833,17.51801059601146
675,265.4800109863281,487.1199951171875,1.83486505559273,17.360092521661695
676,267.0299987792969,487.3399963378906,1.8250383798289356,20.096601982880966
677,266.9700927734375,486.1199951171875,1.820878099367221,21.202336015779135
678,266.17999267578125,485.19000244140625,1.8227891494173594,20.625259159074258
679,268.25,490.6499938964844,1.829077330462197,19.11368510023149
680,266.1600036621094,490.3399963378906,1.842275284006902,15.437137392996274
681,263.989990234375,490.57000732421875,1.8582901832326368,11.067953241488933
682,264.75,489.7200012207031,1.8497450471036945,13.367633336392512
683,264.1000061035156,489.3800048828125,1.8530101990645051,12.467804491879829
684,263.4599914550781,488.2449951171875,1.853203563928745,12.382023904654343
685,263.8399963378906,490.010009765625,1.8572241379888679,11.34184625191082
686,264.1000061035156,487.7099914550781,1.8466867860045304,14.137817919614204
687,265.0400085449219,490.57000732421875,1.8509281297471418,13.070801499667734
688,263.760009765625,491.6199951171875,1.8638913289169083,9.579291211485977
689,265.45001220703125,494.1499938964844,1.8615557399601255,10.272872832730481
690,267.18389892578125,494.4200134277344,1.8504858092705472,13.310140383663988
691,267.7950134277344,495.010009765625,1.848466121267809,13.88580906655491
692,268.260009765625,496.95001220703125,1.8524938273177933,12.8327598297254
693,265.49249267578125,496.8599853515625,1.8714652920838957,7.643910376849728
694,266.9599914550781,496.1199951171875,1.858405794864848,11.18306834427457
695,266.7200012207031,496.1000061035156,1.8600030137710113,10.74529008087151
696,266.6600036621094,489.3699951171875,1.835183336070447,17.360859247930843
697,266.2200012207031,492.010009765625,1.8481331511892536,13.881565784530633
698,266.739990234375,492.92999267578125,1.847979345889085,13.953431378199436
699,265.6000061035156,493.5299987792969,1.8581701334259277,11.178972498089845
700,263.4200134277344,491.3500061035156,1.8652721169886004,9.200757179139
701,262.9150085449219,491.7300109863281,1.870300268165599,7.85748514207469
702,263.7124938964844,494.44000244140625,1.8749206574774187,6.668650157561526
703,263.45001220703125,494.8399963378906,1.8783069782096742,5.767987854398395
704,262.4800109863281,495.48150634765625,1.8876923407834836,3.2762574858042193
705,260.79998779296875,491.9549865722656,1.8863305582774605,3.598231690206287
706,258.75,489.5,1.8917874396135266,2.1429869463181284
707,251.4499969482422,482.82000732421875,1.9201432220482435,-5.101347458728785
708,252.5,484.69000244140625,1.9195643661045791,-4.968523422981409
709,252.92999267578125,484.8399963378906,1.916894043322824,-4.298331544543803
710,253.07000732421875,487.04998779296875,1.9245662215870105,-6.241253281002944
711,253.07000732421875,488.2300109863281,1.9292290546340243,-7.421276474362319
712,253.92999267578125,488.4570007324219,1.923589236487261,-6.007894670612163
713,251.47999572753906,484.7200012207031,1.927469418863293,-6.944120445578765
714,244.40499877929688,475.7699890136719,1.9466459008201493,-11.48924939187393
715,244.4499969482422,475.4649963378906,1.945039894758361,-11.098425351641115
716,244.8300018310547,472.69000244140625,1.9306865943969838,-7.598594459462763
717,244.5500030517578,471.760009765625,1.9290942706133571,-7.202683010431574
718,245.1699981689453,473.6700134277344,1.9320064321301293,-7.930082399772036
719,244.07000732421875,471.0950012207031,1.930163424770615,-7.45323812490361
720,243.99000549316406,469.7300109863281,1.9252018542189373,-6.240846684634935
721,239.8800048828125,463.9100036621094,1.933925271882253,-8.26042413800852
722,241.3699951171875,461.6300048828125,1.9125409712117971,-3.138356496058041
723,241.5030059814453,459.635009765625,1.9032268683270086,-0.889650967231294
724,242.2050018310547,461.010009765625,1.9033876521146058,-0.925635113396684
725,241.19000244140625,458.1099853515625,1.899373857599483,0.03833757738575705
726,241.17999267578125,460.1499938964844,1.9079111363730115,-2.020764007576904
727,242.67999267578125,462.0199890136719,1.903823977903804,-1.0295972220700131
728,244.6999969482422,464.7799987792969,1.8993870231947938,0.06343252406835709
729,244.22000122070312,462.3699951171875,1.8932519564576566,1.5578725267838782
730,244.47999572753906,460.9150085449219,1.8852872079504983,3.5087833509620303
731,245.0399932861328,461.2200012207031,1.8822233670327326,4.271953128680959
732,242.80999755859375,459.44000244140625,1.8921790991350609,1.7983660287738663
733,247.47999572753906,468.1300048828125,1.8915872513518068,2.016110818460188
734,244.94000244140625,464.45001220703125,1.8961786869343054,0.8512154786529569
735,239.9600067138672,457.07000732421875,1.904775773194729,-1.2678290060116277
736,240.4199981689453,454.3800048828125,1.889942635152653,2.2995801199509422
737,240.60000610351562,455.8699951171875,1.8947214611501473,1.1529444486261828
738,240.72000122070312,456.45001220703125,1.8961864817728087,0.8018109973199008
739,239.49000549316406,453.6600036621094,1.8942753069294933,1.2456749315006979
740,241.11500549316406,455.8299865722656,1.8905085796710774,2.175284082596672
741,240.92999267578125,456.3299865722656,1.8940356138488224,1.3223829995261231
742,242.00999450683594,453.489990234375,1.8738481902720159,6.222419399985963
743,242.83999633789062,454.5899963378906,1.8719733289131186,6.70559304192383
744,242.0800018310547,452.3399963378906,1.8685558200448724,7.505948155779858
745,241.92999267578125,453.5050048828125,1.8745298996084798,6.054805957442138
746,241.1699981689453,456.30499267578125,1.8920470876983992,1.805173278329416
747,241.0500030517578,455.42999267578125,1.8893589998337075,2.4512896397919484
748,238.3300018310547,451.92999267578125,1.8962362656974319,0.7630470611532834
