,amd,ma,Ratio,Spread
402,119.61499786376953,345.2799987792969,2.886594532004582,118.69941787449612
403,119.52999877929688,345.5976867675781,2.891305030511196,118.04924389085174
404,120.0,347.6650085449219,2.897208404541016,117.82039866483636
405,120.5250015258789,349.3500061035156,2.8985687756121195,118.18901916556602
406,119.78739929199219,347.8949890136719,2.9042703245075687,116.75880032095948
407,117.9104995727539,346.1700134277344,2.9358709757152566,111.14201599007752
408,118.18000030517578,347.1099853515625,2.9371296704621903,111.25623447107903
409,118.11000061035156,346.67999267578125,2.9352297932796474,111.41241339518119
410,119.71880340576172,347.3500061035156,2.901382207490379,117.03546067620054
411,118.0010986328125,346.4549865722656,2.9360318724687455,111.21143394104375
412,119.66999816894531,348.94000244140625,2.9158519911464085,115.25455572038173
413,118.85399627685547,345.57720947265625,2.9075775346053785,115.42544135280086
414,118.54000091552734,345.885009765625,2.9178758823538877,113.88940359235487
415,116.86000061035156,345.0199890136719,2.9524215917478758,108.18286446054945
416,118.83999633789062,347.4599914550781,2.923763060940914,113.4878966200432
417,119.01000213623047,347.4200134277344,2.919250543580728,114.19287648157386
418,119.7300033569336,349.2644958496094,2.917100860745807,115.16478113037549
419,120.23999786376953,350.45001220703125,2.9145876449872103,115.97418074513227
420,121.52999877929688,364.489990234375,2.999177107672837,106.98022457884069
421,121.2750015258789,363.2099914550781,2.9949287725019955,107.26276537204824
422,121.34600067138672,363.18170166015625,2.992943316225783,107.5687784119974
423,121.74030303955078,364.6600036621094,2.995392606700176,107.63284614457051
424,122.41999816894531,366.6400146484375,2.99493563251371,108.31155922618107
425,123.6897964477539,368.0480041503906,2.9755728824879477,111.87056610141671
426,123.27999877929688,367.54998779296875,2.981424330243371,110.76560065568457
427,125.2249984741211,365.114990234375,2.9156717483197205,120.80874086106915
428,122.69000244140625,363.1000061035156,2.959491391948772,112.90772784433697
429,123.30500030517578,363.4949951171875,2.9479339379388465,114.91839035209277
430,123.27010345458984,362.385009765625,2.9397639785312597,115.89187171453482
431,121.31109619140625,361.0799865722656,2.976479464026513,109.53395966730692
432,118.81999969482422,360.4849853515625,3.033874653067056,100.38468301313365
433,119.19999694824219,362.239990234375,3.0389261703728327,100.11609137608461
434,113.41000366210938,358.2699890136719,3.1590686662976535,81.43771123092812
435,111.69000244140625,362.3399963378906,3.244157833445997,70.63967475863983
436,110.73500061035156,361.8800048828125,3.267982145556459,67.36404086737711
437,109.7699966430664,362.375,3.301220835218904,63.09429562690592
438,109.70999908447266,362.6600036621094,3.3056239785662065,62.57460299006037
439,110.12000274658203,361.6578063964844,3.284215377552828,65.18058783227757
440,109.3499984741211,357.4200134277344,3.2685872740302035,66.40639968909709
441,107.69999694824219,366.45001220703125,3.4025071735437242,50.9221855134097
442,107.54000091552734,366.94000244140625,3.4121257143157138,49.80634806525141
443,107.16000366210938,365.57000732421875,3.4114407878979978,49.689929936675455
444,106.418701171875,363.3599853515625,3.414437324927562,49.00024189645477
445,107.2698974609375,364.010009765625,3.3934031669805576,51.67979270280982
446,106.86499786376953,362.32000732421875,3.39044602598599,51.78597284281442
447,108.19000244140625,363.9599914550781,3.3640815532118347,55.32893237057708
448,107.89019775390625,368.45001220703125,3.4150462217842326,49.666182987999306
449,110.0436019897461,368.7650146484375,3.351080916842391,57.77452716514033
450,109.55599975585938,369.5400085449219,3.3730695659610173,55.092207853553916
451,109.2499008178711,366.92999267578125,3.35862998436479,56.50487423701428
452,109.00980377197266,367.2900085449219,3.3693300587277566,55.205684660479605
453,110.64710235595703,365.8550109863281,3.3065033172703884,63.04520825344245
454,110.52999877929688,367.0400085449219,3.320727518307648,61.40214341697167
455,108.4800033569336,363.9549865722656,3.355042176526658,56.46831703704878
456,108.55999755859375,365.0,3.3621960962461914,55.73621229447575
457,107.125,363.3399963378906,3.3917385889184657,51.78301912543371
458,107.5199966430664,365.36749267578125,3.398135268629982,51.30060827699059
459,107.52909851074219,363.8699951171875,3.383921191163309,52.83370908416775
460,106.18000030517578,363.2300109863281,3.4208891499562593,48.196503907598284
461,106.83000183105469,363.6499938964844,3.404006249775932,50.319094316439575
462,102.31999969482422,354.3800048828125,3.4634480643058345,41.947569204900375
463,103.5198974609375,356.19000244140625,3.4407878212573775,44.83114223680512
464,102.69999694824219,354.7850036621094,3.4545765745339865,43.02898367136696
465,103.19999694824219,353.9200134277344,3.4294575958682985,45.849794944438415
466,102.8311996459961,351.95001220703125,3.4225994972211238,46.37719311964672
467,103.75,353.3800048828125,3.4060723362198795,48.54121856931066
468,103.63999938964844,353.55999755859375,3.411424157089558,47.93094287753938
469,104.31500244140625,349.9599914550781,3.3548385492455957,54.1713193206795
470,102.32209777832031,348.2799987792969,3.4037613217610296,48.055782260101225
471,101.82980346679688,347.1499938964844,3.409119747635355,47.260107999497436
472,102.81500244140625,348.32000732421875,3.387832505501564,49.94384033544945
473,103.38999938964844,349.7900085449219,3.3832093104736334,50.723021371863
474,104.56999969482422,350.2200012207031,3.3491441354382787,54.90876754114383
475,103.68000030517578,349.8500061035156,3.374324894615677,51.797403596928504
476,101.58000183105469,352.1300048828125,3.4665288298425736,41.302962423798576
477,101.87000274658203,355.19500732421875,3.486747793732992,39.37233976605158
478,102.2301025390625,355.510009765625,3.4775472286138354,40.46591882497238
479,101.05999755859375,354.9750061035156,3.5125174616959995,36.42389061051317
480,100.61799621582031,353.67999267578125,3.5150768846276392,35.9899529875908
481,100.875,354.57000732421875,3.514944310525093,36.10524515539974
482,101.01000213623047,352.7699890136719,3.492426309801449,38.43334350256366
483,96.94000244140625,346.92999267578125,3.5788114703780542,28.352957779203493
484,96.17140197753906,347.1449890136719,3.6096488340135457,25.131471526146285
