,tmus,chtr,Ratio,Spread
1151,136.4499969482422,330.1600036621094,2.4196409750550942,98.05878439909051
1152,135.55999755859375,328.05999755859375,2.420035434249656,97.34509933540673
1153,135.55999755859375,328.0625,2.4200538942780665,97.34259689400048
1154,135.0749969482422,326.1700134277344,2.4147327099530913,97.70177687155976
1155,135.85000610351562,326.9849853515625,2.4069559857244682,99.33695990295357
1156,136.02000427246094,328.1199951171875,2.4122921982852765,98.73939134455279
1157,135.05999755859375,324.9700012207031,2.4061158529172917,98.85436921442252
1158,135.17999267578125,327.0199890136719,2.4191448937122226,97.18374033480191
1159,135.3300018310547,326.2699890136719,2.4109213374650342,98.40798721643026
1160,135.4600067138672,326.55999755859375,2.410748422952525,98.52898298759769
1161,135.6699981689453,327.6400146484375,2.4149776595444363,98.11284399611313
1162,136.4499969482422,329.510009765625,2.414877369990809,98.70877829557489
1163,136.41000366210938,330.5199890136719,2.4229893713101665,97.57236215639304
1164,138.07000732421875,335.0,2.4263053685029967,98.3403745911157
1165,138.52000427246094,337.30499267578125,2.435063400751285,97.45802608033316
1166,139.4600067138672,337.9700012207031,2.4234187935622487,99.76479099648682
1167,139.27000427246094,335.29998779296875,2.4075535112141195,101.83412065145788
1168,139.25999450683594,335.3999938964844,2.4084446871066074,101.70246914520109
1169,139.72999572753906,336.7699890136719,2.4101481379155203,101.81836075855139
1170,139.3800048828125,337.1000061035156,2.4185679028131872,100.38186409146121
1171,140.72999572753906,341.7099914550781,2.4281247909411388,100.03981123489476
1172,141.10000610351562,346.1600036621094,2.4532954549141195,96.75956941059226
1173,141.02999877929688,346.010009765625,2.453449711129254,96.68823844766146
1174,141.05999755859375,344.9949951171875,2.4457323202056833,97.798092824436
1175,140.8699951171875,344.07000732421875,2.4424648204040356,98.12239684464137
1176,140.5500030517578,345.4599914550781,2.457915218456892,95.7207728648726
1177,140.69000244140625,346.7099914550781,2.464354150533716,94.91337434375978
1178,142.52999877929688,349.2550048828125,2.4503964630184463,98.18542270709841
1179,142.0399932861328,349.8500061035156,2.463038740073434,96.04129219031839
1180,141.61500549316406,350.0799865722656,2.4720543232910757,94.46773282347934
1181,141.05499267578125,345.7200012207031,2.450958981759334,97.05726401954976
1182,140.92999267578125,347.5675048828125,2.4662422688292795,94.8145787427217
1183,141.02999877929688,345.6050109863281,2.4505779903407525,97.09323722695834
1184,140.8699951171875,345.0150146484375,2.4491731852579752,97.17738952042262
1185,142.02999877929688,365.18499755859375,2.5711821495264653,80.67470357244233
1186,140.85000610351562,360.9750061035156,2.5628327331290452,81.15420373974862
1187,141.25,360.1499938964844,2.549734470063606,83.24377781790244
1188,141.1300048828125,361.489990234375,2.56139713546059,81.52442256666367
1189,141.5399932861328,358.7699890136719,2.534760534348717,85.5405828212873
1190,141.25,357.5299987792969,2.5311858320658187,85.86377293508994
1191,140.64999389648438,355.2699890136719,2.5259154243202,86.2268916540879
1192,149.9499969482422,371.2300109863281,2.4756920209505875,99.66839146449192
1193,149.38999938964844,367.92999267578125,2.4628823494143206,101.19800385948989
1194,150.21499633789062,370.260009765625,2.4648671490346374,101.47617577880098
1195,150.41000366210938,367.94500732421875,2.4462801566762398,104.4076846943411
1196,150.50999450683594,368.1099853515625,2.4457511048201086,104.55882301480639
1197,151.07000732421875,368.0899963378906,2.436552449143096,106.3492661839704
1198,151.02000427246094,368.1499938964844,2.437756479150212,106.13118633150052
1199,149.5,358.7300109863281,2.3995318460623953,110.74574729949322
1200,150.4250030517578,369.7149963378906,2.457802817598615,102.68511554483777
1201,150.47000122070312,369.5299987792969,2.4558383450617884,103.01237269593705
1202,151.00689697265625,371.0799865722656,2.457371113582046,103.15975554450793
1203,150.9199981689453,367.7900085449219,2.4369865690907604,106.17500709531075
1204,151.4499969482422,367.3299865722656,2.4254208912120356,108.31059525517887
1205,151.44000244140625,367.6099853515625,2.4274298694216854,107.99899931308406
1206,153.5800018310547,371.010009765625,2.4157442723158296,111.36448221340802
1207,152.5399932861328,364.7300109863281,2.3910451490722937,114.35654294387709
1208,152.5399932861328,359.0350036621094,2.3537106297666837,120.05155026809584
1209,152.3000030517578,358.70001220703125,2.355219993561853,119.62782389647774
1210,152.33999633789062,357.8599853515625,2.3490875275973346,120.59428764308146
1211,152.10000610351562,356.8599853515625,2.3462194019156852,120.83556981638517
1212,152.25999450683594,357.0,2.3446736692478467,121.20135097243079
1213,151.11000061035156,351.7250061035156,2.327609057526675,122.84069330948037
1214,151.6750030517578,351.2300109863281,2.3156749887552257,125.12191704358733
1215,152.13999938964844,350.7200012207031,2.3052451861950383,127.10199083837952
1216,152.77000427246094,350.92999267578125,2.2971131954012884,128.88373015826548
1217,153.72000122070312,357.6700134277344,2.326763014490291,125.14708003018589
1218,150.8699951171875,347.2300109863281,2.3015180103679262,126.57692236002842
1219,149.99000549316406,347.2590026855469,2.3152142807366825,123.76588489635137
