,hd,bkng,Ratio,Spread
141,283.6026306152344,1738.030029296875,6.128398828764293,161.36681874024137
142,285.8740234375,1673.9100341796875,5.855411464293645,240.75304247629632
143,288.76751708984375,1698.5899658203125,5.882205806728023,235.52053321497604
144,289.3995056152344,1738.7900390625,6.008268864751536,199.56810979299465
145,296.09503173828125,1834.800048828125,6.196659356479533,148.5593131667488
146,298.5343017578125,1834.800048828125,6.146027568773708,164.9538590226123
147,301.20068359375,1829.4100341796875,6.073724708563869,188.26485778863392
148,302.7708435058594,1809.8800048828125,5.977722240113212,218.3480683544947
149,302.3363342285156,1834.6700439453125,6.068308159609455,190.63765466549924
150,294.46563720703125,1795.800048828125,6.098504619625766,176.6080108730387
151,295.1865539550781,1877.5799560546875,6.360655425857981,99.67344778200803
152,295.8975830078125,1912.9300537109375,6.464838388559703,69.10223820152126
153,297.1912536621094,1935.68994140625,6.513280312101736,55.03722343722214
154,302.0104675292969,1906.6700439453125,6.313258144803719,116.44747625127528
155,296.9640808105469,1956.300048828125,6.587665563756105,32.900267531035325
156,302.5535888671875,1966.47998046875,6.499608838988122,60.28790545530936
157,303.3436584472656,1947.25,6.41928698944111,84.82801225537995
158,305.8322448730469,1924.969970703125,6.294202141772833,123.8340472617788
159,308.0838317871094,1955.800048828125,6.348272278629709,108.13708052481346
160,301.40802001953125,1957.2099609375,6.493556345350973,61.858457173005064
161,307.69866943359375,2023.68994140625,6.576856328730386,37.65847828514873
162,306.8197937011719,2063.760009765625,6.726293583834525,-8.318590275689955
163,310.9674987792969,2120.97998046875,6.820584108611538,-37.66147457368422
164,310.6909484863281,2129.760009765625,6.854914892569986,-48.30022243112259
165,323.3018798828125,2151.340087890625,6.654276457255439,14.878865673674712
166,321.7020568847656,2129.64990234375,6.619944935902587,25.81650177225859
167,321.1589050292969,2144.72998046875,6.6780959421726225,7.085852808491412
168,317.3173828125,2086.919921875,6.576758901065758,39.07670662568401
169,308.3208312988281,1972.6700439453125,6.3981082161567535,92.85997972911494
170,303.0769958496094,1992.8299560546875,6.5753256873496095,37.45579369989744
171,304.27191162109375,1990.9599609375,6.543357716885873,47.35692159559542
