,abbv,jnj,Ratio,Spread
681,155.74839782714844,178.27999877929688,1.14466666281315,2.1988333843852175
682,155.5449981689453,178.6199951171875,1.1483493344040498,1.6216175774051818
683,156.56500244140625,178.9499969482422,1.1429757235510754,2.4812188859018605
684,155.9499969482422,178.1999969482422,1.142673936745151,2.5139547672485563
685,155.5800018310547,178.19000244140625,1.1453271650870906,2.092434068797168
686,155.16000366210938,178.3000030517578,1.1491363679008426,1.4926010588442649
687,155.3000030517578,178.75,1.1509980456370426,1.2058815771358764
688,155.4600067138672,178.38999938964844,1.147497695133805,1.7524900909286385
689,155.25,178.3800048828125,1.148985538697665,1.5175595000093336
690,153.42999267578125,177.55999755859375,1.157270455808484,0.2149419633797789
691,154.08999633789062,178.4499969482422,1.158089435974381,0.09468682849453791
692,154.8000030517578,178.91000366210938,1.155749354877534,0.4627415637045329
693,153.77000427246094,177.58999633789062,1.1549066229017182,0.5814894278727889
694,153.0,177.55999755859375,1.1605228598600899,-0.2865467567206894
695,154.10000610351562,177.50999450683594,1.1519142600656018,1.0463633863090889
696,153.50999450683594,176.90069580078125,1.152372497758794,0.9675476729129071
697,153.35000610351562,177.34500122070312,1.1564720845266234,0.33665214545897704
698,151.97500610351562,175.69000244140625,1.1560453718405348,0.38802595862046707
699,152.52000427246094,175.5399932861328,1.1509309491792898,1.173651601325737
700,150.07000732421875,173.92999267578125,1.158992364810206,-0.07371235061841497
701,149.5749969482422,172.86000061035156,1.155674438490323,0.41896262578431
702,151.1649932861328,173.0926055908203,1.1450574754644536,2.040726971501165
703,150.99000549316406,173.1300048828125,1.1466322179228665,1.7992441932736154
704,151.4199981689453,173.35000610351562,1.1448290067346463,2.080731692670959
705,151.50999450683594,173.50999450683594,1.145204942232424,2.0257035615704027
706,151.72999572753906,173.94000244140625,1.146378483749183,1.8522770452544888
707,151.35000610351562,174.80999755859375,1.1550048926924568,0.5391104022805349
708,149.9499969482422,174.59500122070312,1.1643548167658022,-0.8786857210758046
709,149.3800048828125,174.91000366210938,1.1709063994162068,-1.858454349116322
710,148.27999877929688,174.25999450683594,1.1752090365620265,-2.4913522851148215
711,148.1300048828125,175.11000061035156,1.1821372769742584,-3.5162921756633736
712,149.1199951171875,175.60000610351562,1.1775751867851023,-2.8516990825918285
713,151.0,176.99000549316406,1.172119241676583,-2.049100096578819
714,150.33999633789062,179.53990173339844,1.1942257955752555,-5.368740591576362
715,150.27000427246094,179.3000030517578,1.1931855856386437,-5.210471745248036
716,150.47000122070312,179.10000610351562,1.1902705167179417,-4.777223815658907
717,149.1197052001953,179.02000427246094,1.2005120586318492,-6.272035373811171
