,wmt,cost,Ratio,Spread
1202,135.1699981689453,544.0499877929688,4.0249315318697825,-44.28336220316722
1203,135.00999450683594,543.0900268554688,4.022591281773369,-43.91939508981354
1204,135.3699951171875,542.52001953125,4.007682936396649,-42.00843007981526
1205,135.6750030517578,542.3699951171875,3.9975675910637873,-40.72228888615515
1206,135.55999755859375,544.5900268554688,4.017335767655779,-43.3707018424977
1207,135.74000549316406,545.8685302734375,4.021427053065264,-43.97869799902704
1208,135.73500061035156,547.4428100585938,4.033173518966663,-45.571620352781416
1209,135.77859497070312,548.0700073242188,4.036497854779507,-46.03643402546478
1210,135.99000549316406,550.7999877929688,4.050297562644457,-47.97893648224194
1211,134.84500122070312,545.5900268554688,4.046053038054352,-47.03397464545858
1212,134.07000732421875,542.2000122070312,4.044155908008866,-46.53071627476199
1213,133.92999267578125,541.2949829101562,4.041626316074901,-46.14722420183957
1214,133.5449981689453,541.4299926757812,4.054288817248162,-47.716290822035965
1215,133.0399932861328,538.280029296875,4.046001627038429,-46.44740808436048
1216,132.1300048828125,535.02001953125,4.049193973812117,-46.57699241473144
1217,131.64999389648438,531.739990234375,4.0390430299030555,-45.0849445902954
1218,131.99000549316406,528.7000122070312,4.005606411118858,-40.77846547736586
1219,132.39999389648438,529.4583740234375,3.998930501744504,-40.00967127040885
1220,133.5,532.2000122070312,3.9865169453710205,-38.65392295937098
1221,133.14999389648438,533.4400024414062,4.006308876409877,-41.19764257942861
1222,133.38999938964844,533.3599853515625,3.9985005457084757,-40.22363475336535
1223,133.5,533.2949829101562,3.9947189731097845,-39.74889366249598
1224,132.94000244140625,531.02001953125,3.9944336526193376,-39.55985183100241
1225,132.72000122070312,529.1099853515625,3.98666350576424,-38.46929495024121
1226,132.50999450683594,526.4338989257812,3.972786361398751,-36.57545752328942
1227,132.67909240722656,526.0850830078125,3.9650940737001794,-35.596772869941184
1228,132.3300018310547,523.2000122070312,3.9537520212158626,-34.01202122887948
1229,132.25,523.3400268554688,3.9572024714969283,-34.45003278939017
1230,132.67999267578125,525.3099975585938,3.9592254036541052,-34.81833403185876
1231,132.47999572753906,524.1099853515625,3.9561443406856482,-34.36328568646072
1232,132.2949981689453,521.6500244140625,3.9430819882388697,-32.592417741898906
1233,132.77000427246094,522.010009765625,3.931686321967679,-31.183064189620573
1234,132.6300048828125,522.5050048828125,3.9395686168034203,-32.199539693661244
1235,132.6300048828125,523.1500244140625,3.9444319170183295,-32.844559224911244
1236,132.3072967529297,522.3065795898438,3.9476778107347905,-33.20316221557621
1237,132.47999572753906,523.9500122070312,3.9549368138914875,-34.20331254192947
1238,132.63999938964844,522.0900268554688,3.9361431638864586,-31.74733336622065
1239,134.22500610351562,523.9299926757812,3.9033709730042507,-27.6833454879638
1240,134.5865020751953,521.52001953125,3.8749801168015323,-23.926844621913368
1241,134.80999755859375,524.0,3.8869520769203256,-25.574332095978
1242,134.34500122070312,523.719970703125,3.8983212322336676,-27.026356565747527
1243,134.3699951171875,526.3400268554688,3.9170949317698063,-29.55331354929941
1244,134.25999450683594,526.260009765625,3.919708262306164,-29.88303510891884
1245,134.4600067138672,529.1699829101562,3.935519533598102,-32.04798755471747
1246,135.41000366210938,532.8900146484375,3.9353814359104957,-32.22939832241652
1247,135.63999938964844,534.4099731445312,3.939914299242584,-32.89265121948707
1248,134.50999450683594,528.6486206054688,3.9301809694044874,-31.34042691244624
1249,133.39520263671875,521.9400024414062,3.9127344321581736,-28.784270392319023
1250,133.4600067138672,520.6599731445312,3.9012434208909115,-27.26285393435787
1251,133.1199951171875,519.1699829101562,3.900015038710926,-27.0393647855686
1252,133.0,519.219970703125,3.9039095541588344,-27.536319528097373
1253,131.72000122070312,515.75,3.9155025449463543,-28.83418574394411
1254,132.77999877929688,520.6699829101562,3.921298295653693,-29.80580903405498
1255,131.97000122070312,518.97998046875,3.9325602460275926,-31.132947176377762
1256,131.77000427246094,517.4299926757812,3.926766152377827,-30.32792324504222
1257,132.4499969482422,519.969970703125,3.925783183719626,-30.33501277541321
1258,132.64999389648438,519.9224853515625,3.9195062892900894,-29.542563562217502
1259,132.47000122070312,519.25,3.919755380200365,-29.540528634995063
1260,134.38999938964844,523.9600219726562,3.89880217540216,-27.09879522919376
1261,134.9499969482422,523.8900146484375,3.882104679478924,-24.94286635756233
1262,134.38999938964844,522.989990234375,3.8915841402605063,-26.12876349091251
1263,134.88999938964844,524.8699951171875,3.8910964303664044,-26.146330301092313
1264,135.35000610351562,528.2999877929688,3.9032136237136563,-27.86285494172781
1265,135.71499633789062,531.1599731445312,3.9137898351490823,-29.363296876012065
1266,135.80999755859375,529.6300048828125,3.89978657244515,-27.479460833525103
1267,135.72999572753906,528.0250244140625,3.8902603774776985,-26.17247727684829
1268,136.26499938964844,531.510009765625,3.9005614952213614,-27.664640249789976
1269,135.3800048828125,523.2999877929688,3.8654156368656296,-22.751113204337763
1270,136.25999450683594,528.614990234375,3.879458473101988,-24.7882632871381
1271,136.6300048828125,529.0999755859375,3.87250206160606,-23.895005815724822
1272,135.97999572753906,526.8400268554688,3.874393612359642,-24.05626068193819
1273,136.41000366210938,529.3200073242188,3.880360626888892,-24.93451485293243
1274,137.0500030517578,532.1900024414062,3.8831812520312115,-25.42059151063406
