,alb,lin,Ratio,Spread
554,211.5,315.9700012207031,1.4939479963153812,-41.488396299819286
555,210.23500061035156,316.3214111328125,1.5046087008084867,-43.48930294682005
556,210.66000366210938,317.17999267578125,1.505648851998151,-43.79370149813674
557,210.97999572753906,317.9649963378906,1.5070859928754226,-44.161451309029545
558,211.6999969482422,318.8999938964844,1.5063769413962305,-44.157602831501734
559,212.6199951171875,319.1099853515625,1.5008465463263794,-43.1679621063595
560,212.52000427246094,318.6600036621094,1.4994353343489106,-42.84836354060208
561,210.97999572753906,319.8800048828125,1.5161627232939545,-46.07645985395142
562,210.58999633789062,317.80999755859375,1.509140999502508,-44.514992474572935
563,211.38499450683594,318.8999938964844,1.5086217195335099,-44.56835045939336
564,213.5,320.05499267578125,1.4990866167483898,-42.965486520494736
565,212.77000427246094,319.6700134277344,1.502420486951645,-43.53238565192676
566,210.80999755859375,318.45001220703125,1.5106020392534725,-44.868136395489515
567,211.5,318.05999755859375,1.5038297756907506,-43.57839263770991
568,210.24000549316406,316.8800048828125,1.5072298164162474,-44.04137057678771
569,209.02999877929688,316.4700012207031,1.5139932213980738,-45.2091559160432
570,209.8699951171875,317.1600036621094,1.511221284800684,-44.80384461421012
571,211.24000549316406,317.8900146484375,1.5048760006717796,-43.74742972521132
572,210.0399932861328,316.2099914550781,1.505475155030653,-43.632163189859526
573,209.9600067138672,317.6099853515625,1.5127165898046495,-45.13645562661749
574,214.10499572753906,316.8299865722656,1.4797879213217893,-38.95159586465037
575,216.3563995361328,316.70001220703125,1.4637885123159504,-35.88590211363068
576,217.2550048828125,317.9649963378906,1.4635566002698128,-35.97914924806663
577,216.5850067138672,318.1000061035156,1.468707418532258,-36.987803539611676
578,217.1699981689453,317.9549865722656,1.4640833874526056,-36.079984039455056
579,217.875,318.7900085449219,1.4631784672170827,-35.99571843937942
580,218.02999877929688,318.1499938964844,1.4592028421673064,-35.1535930370123
581,218.02000427246094,325.2099914550781,1.4916520735806482,-42.226622938963445
582,216.89999389648438,326.7099914550781,1.5062701735759414,-45.187061159989995
583,216.19000244140625,326.3900146484375,1.5097368562956497,-45.79287814940615
584,216.77000427246094,326.68499755859375,1.5070581312900622,-45.33156731398073
585,216.7899932861328,326.4800109863281,1.5059736200804235,-45.100516055000426
586,217.22999572753906,326.19500732421875,1.501611258757051,-44.24177093784927
587,217.1999969482422,326.3699951171875,1.5026243080240929,-44.455875657597474
588,219.35000610351562,329.7699890136719,1.5033963065314293,-45.052363789074505
589,213.14999389648438,328.9800109863281,1.5434202224096532,-52.346895505745024
590,211.51499938964844,327.07000732421875,1.546320631009706,-52.56884393994518
591,211.83999633789062,327.510009765625,1.5460253749402333,-52.58506641010247
592,209.14649963378906,325.7799987792969,1.5576641222766363,-54.36724211351738
593,208.38999938964844,325.6050109863281,1.5624790630068126,-55.17869328080879
594,207.2100067138672,324.3999938964844,1.565561427467366,-55.51232836884306
595,208.44000244140625,316.8349914550781,1.5200296859723093,-46.34347223935721
596,204.14999389648438,314.9700012207031,1.5428362019957287,-50.072441294932176
597,203.6999969482422,313.8399963378906,1.540697108687899,-49.5292102105188
598,203.05499267578125,312.2300109863281,1.5376623193149803,-48.76027857812922
599,203.1649932861328,310.8999938964844,1.5302832878232133,-47.286826124525035
600,202.05999755859375,310.1300048828125,1.5348411790061534,-47.957696971782596
601,200.7899932861328,309.6199951171875,1.5420090914389748,-49.10371006108137
602,194.5800018310547,310.0299987792969,1.593329200646644,-57.61123591385497
603,193.65499877929688,307.95001220703125,1.5901991384069212,-56.73740764184207
604,193.32000732421875,308.3800048828125,1.595178942682459,-57.60421263222962
605,194.25999450683594,310.04998779296875,1.5960568133448505,-58.04849867545083
606,196.89999389648438,311.5899963378906,1.5824784458942232,-56.146078386829416
607,198.4600067138672,313.42999267578125,1.5793106019978818,-55.95189504865171
608,198.47000122070312,313.989990234375,1.5820526442442606,-56.49886026388812
609,193.27000427246094,311.1400146484375,1.6098722397181209,-60.429423908056165
