,bac,schw,Ratio,Spread
616,36.380001068115234,69.44000244140625,1.9087410775879832,2.475962114561127
617,36.50749969482422,69.62000274658203,1.9070055010218154,2.555124795324345
618,36.67499923706055,69.51000213623047,1.8952966211922846,3.0055971631362146
619,36.53499984741211,69.41999816894531,1.9000957563672345,2.8110281841280473
620,36.46500015258789,69.18990325927734,1.8974332365213769,2.8988366206493614
621,36.28499984741211,68.70999908447266,1.8936199358802845,3.0128590776394466
622,36.2400016784668,68.58000183105469,1.8923840688397038,3.05138977861938
623,36.314998626708984,67.91000366210938,1.8700263315489394,3.8738322016280753
624,36.439998626708984,68.37000274658203,1.8762350527771343,3.6679172126360546
625,36.540000915527344,68.37000274658203,1.8711001924887423,3.8711891414393014
626,36.775001525878906,69.2300033569336,1.8825289050828673,3.4888678712363363
627,36.70500183105469,69.16999816894531,1.8844842587754143,3.406586586077963
628,36.840999603271484,69.4000015258789,1.8837708605419106,3.4530221966730457
629,36.810001373291016,69.1500015258789,1.878565578540116,3.640012938864344
630,36.5099983215332,68.37000274658203,1.87263779484367,3.8102036857827093
631,36.60499954223633,68.33000183105469,1.8666849524806788,4.043310995165327
632,36.375,68.01499938964844,1.8698281619147337,3.8907996313709665
633,36.310001373291016,68.05000305175781,1.8741393687143777,3.7236750310629096
