,txn,avgo,Ratio,Spread
1120,163.7100067138672,480.7099914550781,2.9363506917158975,38.8661058610264
1121,162.61000061035156,477.4100036621094,2.935920311605472,38.65348315245657
1122,159.67999267578125,472.364990234375,2.9581977198200287,34.34220609446558
1123,159.47999572753906,470.2900085449219,2.948896545924048,35.77854461782542
1124,159.27499389648438,466.2349853515625,2.927232793708828,39.178942730200305
1125,159.39999389648438,465.2799987792969,2.9189461517887723,40.533087371943026
1126,159.6199951171875,463.54998779296875,2.904084713526312,42.96562045857891
1127,160.1999969482422,465.5249938964844,2.9058988936615733,42.84271364447906
1128,161.3699951171875,468.8399963378906,2.9053728110818695,43.26382488633644
1129,162.77999877929688,471.6600036621094,2.897530453367329,44.94633227990343
1130,160.91160583496094,464.54998779296875,2.88698870030192,46.0900751835579
1131,160.6199951171875,462.7799987792969,2.881210390036776,46.9288740280675
1132,160.39500427246094,462.2799987792969,2.8821346455032213,46.710418738218976
1133,160.41000366210938,462.5404968261719,2.8834890983512214,46.497817710667135
1134,161.3300018310547,465.1400146484375,2.883158801024088,46.83609743271094
1135,160.4499969482422,461.69000244140625,2.877469686648469,47.47602123851138
1136,161.1649932861328,463.3800048828125,2.87519017272024,48.069191260430074
1137,160.77999877929688,461.93701171875,2.8730999827463126,48.282795111629156
1138,159.83999633789062,457.92999267578125,2.864927447243862,49.288137676074115
1139,159.83250427246094,458.7900085449219,2.8704424712187353,48.404197659947016
1140,159.8800048828125,460.7300109863281,2.881723773551484,46.61587723395607
1141,160.10000610351562,462.5199890136719,2.888944230986606,45.52842130692002
1142,160.7100067138672,464.92999267578125,2.8929747573438673,45.066310972872856
1143,161.4199981689453,464.0,2.8744889435221563,48.263494197087965
1144,161.61000061035156,463.010009765625,2.8649836521067864,49.86021249312418
1145,162.58999633789062,464.54998779296875,2.8571867781308766,51.44962008738284
1146,162.47000122070312,465.1700134277344,2.8631132512631443,50.44641829803126
1147,162.33999633789062,463.81500244140625,2.8570593378358384,51.386289299991034
1148,163.0399932861328,467.1400146484375,2.865186665143034,50.29655253696157
