,googl,meta,Ratio,Spread
613,118.90849304199219,208.11000061035156,1.750169355328203,-23.200208916319752
614,119.25550842285156,206.13999938964844,1.7285574655279252,-20.686001420615895
615,118.51350402832031,205.72000122070312,1.735835953104076,-21.429650368930965
616,116.4489974975586,207.59100341796875,1.7826774629152216,-26.53831138707696
617,116.48500061035156,207.00990295410156,1.7771378449536224,-25.900749103410988
618,116.2020034790039,205.24000549316406,1.7662346547256227,-24.574661407634892
619,116.47099304199219,208.0399932861328,1.7861957544324065,-26.95280678046248
620,115.510498046875,204.5800018310547,1.7710944484719877,-24.999109951735193
621,114.94749450683594,202.8699951171875,1.764892710254966,-24.172032572522056
622,114.1094970703125,200.5,1.7570842493193621,-23.116225495821993
623,115.5352554321289,210.14999389648438,1.8189252545508658,-30.53027629026363
624,114.7719955444336,207.50999450683594,1.8080193998761582,-29.087257908521764
625,115.0949935913086,206.9134063720703,1.7977620043735367,-27.984128641524364
626,114.22099304199219,204.08999633789062,1.7867993518744756,-26.531368467630898
627,114.0300064086914,203.35000610351562,1.783302592956938,-26.090892692892112
628,115.68509674072266,208.8300018310547,1.8051590716053212,-28.975295849998503
629,116.55250549316406,211.1300048828125,1.8114583121955754,-29.914986615597286
630,116.8918685913086,210.49000549316406,1.8007241053618925,-28.742781630172146
631,117.697998046875,211.1699981689453,1.7941681394176618,-28.158563171865524
632,116.9949951171875,210.47000122070312,1.7989658532819017,-28.561049360631245
633,118.0260009765625,213.94000244140625,1.8126514553677902,-30.41417741322033
634,117.29949951171875,212.3300018310547,1.810152666592085,-29.943511477274484
635,117.75699615478516,212.46009826660156,1.80422484611729,-29.356139588126553
636,117.40350341796875,212.05999755859375,1.8062493144147325,-29.510403257473598
637,115.64601135253906,209.19000244140625,1.8088821222178137,-29.396592053236105
638,115.56050109863281,207.5699005126953,1.7962011114466434,-27.910591433341637
639,117.22950744628906,212.15809631347656,1.8097670197128555,-29.88137089608844
640,118.30643463134766,213.41000366210938,1.8038748638407713,-29.444389036478157
641,118.3550033569336,214.61349487304688,1.8133031032563793,-30.571712426936926
642,121.53900146484375,222.27000427246094,1.828795708320465,-33.234922262441046
643,122.35099792480469,223.4199981689453,1.8260578332696256,-33.111504105272985
