,tsla,nflx,Ratio,Spread
136,231.73333740234375,184.05999755859375,0.7942750042865959,70.88560273772059
137,244.5433349609375,189.27000427246094,0.773973268593455,79.82982511852099
138,250.76333618164062,186.97999572753906,0.7456432769426068,88.99253772480169
139,234.3433380126953,177.33999633789062,0.7567528816555622,80.48948792539254
140,233.07000732421875,174.4499969482422,0.7484875422240344,81.9725382351891
141,237.0399932861328,176.55999755859375,0.7448532001326325,84.2491185395114
142,238.31333923339844,174.77999877929688,0.7334041784716108,87.43608325864743
143,240.06666564941406,189.11000061035156,0.787739522681262,75.04339512781034
144,240.54666137695312,190.9199981689453,0.7936921555097395,73.76376218958232
145,245.52999877929688,201.6300048828125,0.8212031356056602,68.56002500669403
146,247.5,216.44000244140625,0.8745050603693182,55.92675296791906
147,271.7066650390625,223.8800048828125,0.8239768606729831,75.23356925255659
148,272.24334716796875,220.44000244140625,0.8097167652930712,79.26657116713271
149,268.4333190917969,218.50999450683594,0.814019642740816,76.98674143385163
150,258.8599853515625,213.91000366210938,0.8263540746616139,71.00880996913291
151,274.82000732421875,226.75,0.825085488526648,75.80361850326635
152,280.8999938964844,226.02000427246094,0.8046280141812766,83.25161104873744
153,297.1499938964844,224.89999389648438,0.7568568013325649,102.32683349530849
154,297.27667236328125,226.2100067138672,0.7609409945137962,101.15679229245585
155,300.586669921875,221.4199981689453,0.7366261392313047,109.60413672154395
156,307.39666748046875,226.72999572753906,0.7375811767443606,111.81875149309057
157,308.6333312988281,229.91000366210938,0.7449292747953511,110.0051780889002
158,288.1700134277344,226.77999877929688,0.7869659860919826,90.52452376903737
159,290.42333984375,233.49000549316406,0.8039643288269582,86.30429881909838
160,283.3333435058594,229.94000244140625,0.8115529206559872,82.02030877383685
161,294.3566589355469,244.11000061035156,0.8293000793428714,80.03037006711274
162,286.6300048828125,242.6999969482422,0.8467361853741344,72.9029145222705
163,300.0299987792969,249.3000030517578,0.8309169218613495,81.109045782204
164,309.32000732421875,249.11000061035156,0.8053471961457795,91.56391428894607
165,306.5633239746094,245.69000244140625,0.8014331240150409,91.93795343304753
166,303.9966735839844,241.14999389648438,0.7932652389035516,93.64197723490808
167,302.8699951171875,245.1699981689453,0.8094892268020254,88.3770652204958
168,296.6666564941406,241.16000366210938,0.8128989166225105,85.53276677209998
169,289.913330078125,226.5399932861328,0.7814059230221856,92.69078281075296
170,296.4533386230469,224.5500030517578,0.7574547957352666,101.90706476005543
171,297.0966796875,229.61000061035156,0.7728460676567168,97.55791798582958
172,296.07000732421875,233.97999572753906,0.7902860470135818,92.05351548342774
173,288.0899963378906,223.27999877929688,0.7750355847740704,93.93610999565787
174,284.82000732421875,224.57000732421875,0.7884628942818062,89.03297245325955
175,277.70001220703125,220.64999389648438,0.7945624205878145,85.08584604895093
176,275.6099853515625,223.55999755859375,0.8111462190799261,79.86649620695361
177,277.1600036621094,230.0399932861328,0.8299898623416768,75.09917170890218
178,270.2099914550781,226.11000061035156,0.8367936336948588,71.34984481111626
179,274.4200134277344,218.38999938964844,0.7958238783745237,83.72165140664434
180,283.70001220703125,228.9600067138672,0.8070496893274107,83.40544999609533
181,289.260009765625,227.44000244140625,0.7862822193281787,91.06889643942013
182,299.67999267578125,233.57000732421875,0.7793980680482537,96.45230712115078
183,304.4200134277344,236.52999877929688,0.7769857050986769,98.72973583963186
184,292.1300048828125,218.1300048828125,0.7466881225374813,103.55005528851682
185,302.6099853515625,224.1199951171875,0.7406232641557156,109.13977408873221
186,303.75,235.3800048828125,0.7749135963220165,99.13940769395519
187,303.3500061035156,240.1300048828125,0.7915938686378999,93.94743998698162
188,309.07000732421875,243.6300048828125,0.7882680270144791,96.76767598462986
189,308.7300109863281,242.85000610351562,0.7866096507030865,97.17200052700046
190,300.79998779296875,236.8699951171875,0.7874667710432812,94.38984239569781
191,288.5899963378906,237.0500030517578,0.8214075541766593,80.71857378690758
192,275.3299865722656,226.41000366210938,0.822322357549252,76.70710933655901
193,276.010009765625,224.07000732421875,0.8118184101891402,79.79848786827675
194,282.94000244140625,224.36000061035156,0.7929596334007739,87.16569385237896
195,287.80999755859375,245.1999969482422,0.8519509364796238,71.70673105983364
196,268.2099914550781,239.7100067138672,0.8937400333723796,55.53996645275821
197,265.25,235.44000244140625,0.8876154663200989,56.53936922964532
198,242.39999389648438,239.0399932861328,0.986138610994411,27.691581129349444
199,249.44000244140625,240.74000549316406,0.9651218855713176,33.77032870095631
200,240.80999755859375,236.72999572753906,0.9830571742352103,28.24473429174047
201,238.1300048828125,240.02000427246094,1.007936838495336,21.993505018123685
202,223.07000732421875,224.75,1.00753123513077,20.623173909219346
203,222.9600067138672,229.97999572753906,1.0314854180224389,15.271634533264447
204,216.5,214.2899932861328,0.9897921167950707,23.823742173135358
205,217.24000549316406,220.8699951171875,1.0167095817171559,18.06139914596777
206,221.72000122070312,232.50999450683594,1.0486649523124993,11.371508886369853
