,nke,hd,Ratio,Spread
863,112.31500244140625,308.69000244140625,2.748430714787609,-8.064557384485287
864,111.19999694824219,306.0849914550781,2.7525629483384315,-8.470811863472992
865,111.19000244140625,306.56500244140625,2.7571274009365787,-8.977814746668404
866,111.26000213623047,306.8100891113281,2.757595570919184,-9.033855116012266
867,111.26000213623047,307.4599914550781,2.763436864567141,-9.683757459762266
868,110.93000030517578,307.4200134277344,2.771297327882462,-10.535006537072608
869,110.69000244140625,306.7300109863281,2.7710724023942057,-10.493159897005004
870,110.80000305175781,307.6600036621094,2.7767147580166824,-11.12607687123489
871,112.0,309.1300048828125,2.760089329310826,-9.35527848074327
872,112.01000213623047,309.4200134277344,2.762431992916195,-9.618274524296456
873,111.7699966430664,308.05999755859375,2.7561958200855337,-8.906435060995879
874,111.42500305175781,308.4800109863281,2.7684990131257763,-10.258163438685248
875,111.80999755859375,308.614990234375,2.760173481558714,-9.353398335803835
876,111.41999816894531,308.25,2.766559011539408,-10.041669005292196
877,112.88999938964844,308.70001220703125,2.734520452440872,-6.521688295683933
878,112.30000305175781,306.7200012207031,2.7312555020977096,-6.135064613584464
879,112.01000213623047,306.7099914550781,2.738237528841815,-6.908252551640206
880,112.01000213623047,307.1000061035156,2.7417194915326393,-7.298267200077706
881,112.36499786376953,308.5400085449219,2.7458729534173396,-7.7795421901602735
882,112.55000305175781,309.0799865722656,2.7461570696726727,-7.81988166243963
883,113.23999786376953,309.94000244140625,2.73701879449231,-6.8164470271688655
884,111.58999633789062,305.2799987792969,2.7357290868163457,-6.61255828382838
885,109.72000122070312,302.4599914550781,2.7566531907585032,-8.842796676979791
886,109.12999725341797,300.4800109863281,2.75341353018239,-8.456224116959906
887,108.8499984741211,300.29998779296875,2.758842370258412,-9.032386125912584
888,108.70999908447266,299.2300109863281,2.75255278729064,-8.34050192042793
889,108.70999908447266,299.92999267578125,2.7589917689422654,-9.040483609881054
890,108.29000091552734,298.1099853515625,2.7528856111480327,-8.354754089130328
891,107.96929931640625,295.8599853515625,2.740223259989293,-6.970864306546846
892,107.5999984741211,295.9100036621094,2.750093009836601,-8.018243508589993
893,108.02999877929688,297.4700012207031,2.753587008997643,-8.416950762347032
894,108.11000061035156,298.44000244140625,2.760521697868074,-9.170893181103455
895,108.02999877929688,298.3399963378906,2.7616402824126034,-9.286945879534532
896,108.11000061035156,297.5799865722656,2.7525666903360673,-8.31087731196283
897,107.88999938964844,296.32000732421875,2.7465011493238487,-7.645049467018683
898,108.47000122070312,294.8999938964844,2.718723984306532,-4.658640631922881
899,107.98999786376953,293.69000244140625,2.7196037434124145,-4.744981384023506
900,108.12999725341797,293.4649963378906,2.714001699732904,-4.141882679351855
901,107.41999816894531,292.0799865722656,2.7190466537980704,-4.67434842087562
902,107.43000030517578,292.0799865722656,2.718793500349583,-4.647335919506932
903,108.0634994506836,293.42999267578125,2.7153478664615376,-4.286467851666262
904,107.87000274658203,293.1000061035156,2.717159531293354,-4.479052644551532
905,106.19999694824219,288.8999938964844,2.7203390037504724,-4.789180359026548
906,106.13999938964844,289.92999267578125,2.7315808775485766,-5.981212937532692
907,106.93000030517578,291.25,2.7237444979779215,-5.167685952656032
908,106.75499725341797,290.4100036621094,2.7203410719287087,-4.800315668461113
909,106.91000366210938,289.44000244140625,2.7073238474126855,-3.4116927922982567
910,107.05599975585938,289.510009765625,2.704285704919397,-3.087412377240642
911,106.44999694824219,288.4114074707031,2.709360410887881,-3.625425630537907
912,104.72000122070312,290.29998779296875,2.772154167389147,-10.186159069017666
913,104.20140075683594,289.2300109863281,2.7756825617083054,-10.516752642266912
914,104.91000366210938,289.45001220703125,2.7590315709003512,-8.823048979582158
915,105.41999816894531,289.6000061035156,2.7471069164638457,-7.59571437378452
916,105.62999725341797,291.05999755859375,2.755467245353693,-8.488566927128605
917,105.47000122070312,291.75,2.76618940573911,-9.610666367926857
918,106.48999786376953,293.50469970703125,2.7561715240383964,-8.610688465892682
919,106.9800033569336,294.8890075683594,2.756487178117545,-8.67165161867337
920,107.8499984741211,296.0450134277344,2.7449700288940773,-7.478084971507658
921,106.97000122070312,294.9200134277344,2.757034776687047,-8.729669979417057
922,105.8499984741211,292.7349853515625,2.7655643795132625,-9.569403316994684
923,106.20999908447266,292.125,2.7504472509001947,-7.987173961173428
924,105.73999786376953,291.7699890136719,2.759315253529461,-8.901482680655423
925,105.73999786376953,292.010009765625,2.7615851680065004,-9.141503432608548
926,104.91000366210938,290.1000061035156,2.7652272993704203,-9.473042876066533
927,105.61000061035156,291.07000732421875,2.7560837576180166,-8.55258109098958
928,105.59600067138672,290.8299865722656,2.754176149883976,-8.350369599152092
929,104.97000122070312,289.3999938964844,2.756978094036702,-8.610996869825957
930,105.22000122070312,288.6449890136719,2.7432520971771095,-7.180823684306065
931,104.98999786376953,289.3900146484375,2.75635794396279,-8.547013223543107
932,105.19000244140625,289.6499938964844,2.7535886222440906,-8.266845466723229
933,105.83999633789062,292.1199951171875,2.7600151665217774,-8.981425583988372
934,106.30000305175781,293.6000061035156,2.761994333721334,-9.219108761373665
935,106.49500274658203,293.8800048828125,2.7595661514947905,-8.97247708873886
936,106.94999694824219,294.3999938964844,2.752688193520543,-8.263675450904433
937,107.83999633789062,296.6700134277344,2.7510202476100836,-8.130097472876347
938,108.45999908447266,297.1499938964844,2.7397196791883887,-6.935653133291569
939,108.4800033569336,297.5299987792969,2.742717455495727,-7.261633013366693
940,107.69499969482422,298.1000061035156,2.768002293033501,-9.951678698247239
941,108.52999877929688,299.9800109863281,2.764028511567183,-9.576623922557307
942,107.2300033569336,297.69000244140625,2.7761819744656133,-10.797478189012853
943,108.11009979248047,299.25,2.768011504701378,-9.980622881178707
944,108.04000091552734,299.5199890136719,2.7723064279484406,-10.439926053947094
945,108.56999969482422,299.2099914550781,2.755917770066478,-8.698574990333956
946,108.73999786376953,299.8599853515625,2.7575868240059176,-8.889459386057698
947,110.35749816894531,301.20001220703125,2.729311711524366,-5.861146498829728
948,110.48999786376953,300.4150085449219,2.7189339700714226,-4.7183044604655064
949,110.41999816894531,298.6400146484375,2.704582680679916,-3.132356864559145
950,111.11000061035156,299.92498779296875,2.6993518688274243,-2.5538589001776044
951,111.37000274658203,299.8500061035156,2.692376750549358,-1.7766964066484006
952,111.4800033569336,300.2699890136719,2.6934874414407375,-1.8996036152533433
953,110.9800033569336,299.9800109863281,2.7030095685033744,-2.9599621933243183
954,113.27999877929688,301.9750061035156,2.665739842492872,1.2565787116951102
955,112.9000015258789,300.6499938964844,2.662975994978791,1.5553425162316872
956,112.2699966430664,299.05999755859375,2.6637570722423565,1.4439015444188472
957,112.63999938964844,298.2300109863281,2.6476386061995605,3.2731446223118583
958,112.18499755859375,296.7099914550781,2.6448277212833897,3.564352897554099
959,112.3550033569336,296.82501220703125,2.641849524618556,3.9084622508630646
960,112.38999938964844,297.6600036621094,2.6484563153180782,3.1679836438232174
961,108.1500015258789,287.19000244140625,2.65547848718879,2.1871362198698963
962,107.55999755859375,284.7900085449219,2.647731638240149,2.993722207624157
963,107.66000366210938,283.239990234375,2.6308747965801946,4.813824322855109
964,108.08000183105469,283.95001220703125,2.627220645785035,5.238080153666883
965,107.19000244140625,281.4800109863281,2.6259912732084767,5.304483865091922
966,105.93499755859375,278.9649963378906,2.633360105413626,4.430140447057508
