,qcom,adbe,Ratio,Spread
1278,112.94159698486328,331.95001220703125,2.9391297898109237,-11.832359560243844
1279,112.2489013671875,328.9599914550781,2.9306299433522955,-10.805690673758022
1280,112.5250015258789,329.489990234375,2.92814917366251,-10.55312096584339
1281,111.73999786376953,327.7099914550781,2.9327903858975684,-10.998108695877193
1282,111.55999755859375,327.17999267578125,2.9327716012537484,-10.978296390889682
1283,112.5999984741211,328.6199951171875,2.9184724651014484,-9.470557161229067
1284,112.12999725341797,339.7300109863281,3.0297870267358133,-21.912727803537734
1285,111.19999694824219,336.6401062011719,3.0273391676248007,-21.458782864899035
1286,112.05999755859375,338.94000244140625,3.0246297503637,-21.32112390837591
1287,112.41999816894531,339.2349853515625,3.0175679672379867,-20.59573386991343
1288,112.55999755859375,337.30999755859375,2.996712907558523,-18.273936777424638
1289,112.25,338.0690002441406,3.011750558967845,-19.91158553698233
1290,112.0999984741211,338.2200012207031,3.017127616632244,-20.487745512883464
1291,114.2300033569336,342.6700134277344,2.99982494403853,-18.900547503173073
1292,114.29000091552734,344.1400146484375,3.0111121873451916,-20.20049377393474
1293,113.9800033569336,341.6600036621094,2.9975433725175935,-18.599128861617487
1294,114.33000183105469,341.510009765625,2.987055053758102,-17.457111716332975
1295,114.58000183105469,342.3500061035156,2.987868743520375,-17.588516930154185
1296,114.22000122070312,340.2200012207031,2.9786376955408054,-16.478884995960414
1297,114.58999633789062,341.3800048828125,2.9791431694978674,-16.590187634117456
1298,109.44000244140625,336.0299987792969,3.0704494817533106,-25.83714138684337
1299,109.17109680175781,335.9787902832031,3.077543416947638,-26.548109488617968
1300,107.69000244140625,333.760009765625,3.0992664332719526,-28.527290241657283
1301,108.26000213623047,331.89990234375,3.065766633978994,-25.05159592188346
1302,109.44000244140625,332.67498779296875,3.0397933147989615,-22.482130400515246
1303,110.69999694824219,336.3699951171875,3.0385727587188405,-22.605854029053432
1304,110.69000244140625,336.54998779296875,3.0404732168211983,-22.814174780168287
1305,110.01679992675781,336.82000732421875,3.0615324891148634,-24.992295617742627
1306,109.63500213623047,336.19000244140625,3.0664477209902605,-25.444444837158017
1307,110.17379760742188,336.3949890136719,3.0533120970590066,-24.12228865512361
1308,110.33000183105469,336.44000244140625,3.0493972342771065,-23.724562377224515
1309,110.31999969482422,337.75,3.061548231819347,-25.062909635636856
1310,110.19000244140625,337.4700012207031,3.062619055663906,-25.151370456041434
1311,110.8499984741211,338.4599914550781,3.05331525587792,-24.270691367605423
1312,110.25,336.45001220703125,3.051700790993481,-23.9613264924281
1313,110.18000030517578,336.7699890136719,3.056543729178515,-24.479707948828775
1314,109.41999816894531,335.2200012207031,3.0636081779413016,-25.083843227886803
1315,109.61000061035156,334.25,3.0494480260812393,-23.575305833055722
1316,109.58999633789062,333.70001220703125,3.044986069514584,-23.082017439724098
1317,110.11000061035156,335.4800109863281,3.0467714932951266,-23.388134571245075
1318,109.44999694824219,334.989990234375,3.0606669673347584,-24.768804766587948
1319,109.03500366210938,335.0899963378906,3.07323322862727,-26.045053106511943
1320,108.05999755859375,331.9200134277344,3.0716270676182114,-25.638592879814325
1321,107.62000274658203,330.1000061035156,3.0672737193736923,-25.06569122930796
1322,107.91999816894531,331.55999755859375,3.072275789326341,-25.6753863101938
1323,107.4000015258789,329.2699890136719,3.0658285319887226,-24.859237788562837
1324,106.9000015258789,327.8999938964844,3.0673525651644136,-24.906424919514166
1325,106.97000122070312,328.30999755859375,3.0691782164348727,-25.11802393186349
1326,109.91999816894531,335.6000061035156,3.053129655148863,-24.046665862560474
1327,109.94000244140625,336.5299987792969,3.061033211807088,-24.9199591387046
1328,110.14440155029297,336.8949890136719,3.0586664802917145,-24.705607795780338
1329,110.18000030517578,336.7300109863281,3.056180886310181,-24.439729921485025
1330,109.86000061035156,337.9700012207031,3.076369919379537,-26.586715929689433
1331,109.79000091552734,338.7699890136719,3.0856178721987826,-27.585108372418233
1332,109.83999633789062,337.4200134277344,3.0719230214626045,-26.093427536357865
1333,108.37999725341797,333.44000244140625,3.076582495769445,-26.251586119656793
1334,108.45989990234375,333.0480041503906,3.0707017473763467,-25.63311459736741
1335,108.90149688720703,333.5,3.062400513607423,-24.83346363141709
1336,108.37999725341797,332.1700134277344,3.0648645676844097,-24.981597105984918
1337,108.46499633789062,332.6099853515625,3.06651912212687,-25.180650642567628
1338,108.86000061035156,334.25,3.0704574510926097,-25.70107920526391
1339,109.94999694824219,336.5199890136719,3.0606639231839647,-24.881621297745994
1340,108.25,336.6700134277344,3.1101155974848442,-29.850056705686427
1341,108.44999694824219,335.0,3.0889811842030657,-27.613179028490492
1342,107.63999938964844,333.37249755859375,3.09710608926902,-28.281504909233888
1343,108.2300033569336,335.0150146484375,3.0953987273158043,-28.25173570154169
1344,107.55999755859375,335.9049987792969,3.122954689510022,-31.040760479515654
1345,107.70999908447266,336.94000244140625,3.128214699706363,-31.650605142286395
1346,107.19999694824219,336.8999938964844,3.142723913127954,-33.05612854532188
1347,109.62000274658203,338.44000244140625,3.0873927564461665,-27.73695857464338
1348,110.87999725341797,340.7799987792969,3.0734127635342454,-26.505671216853443
1349,111.95999908447266,343.2900085449219,3.066184452948353,-25.954562136622314
1350,111.76000213623047,341.8399963378906,3.0586971170705857,-25.071414179052567
1351,110.11499786376953,338.1700134277344,3.0710622529921547,-26.063972974984495
1352,111.06999969482422,340.67999267578125,3.0672548267924116,-25.86712893920992
1353,111.55000305175781,341.42999267578125,3.0607797699240042,-25.256624466223286
1354,110.36000061035156,333.1000061035156,3.018303771849304,-20.29953856436316
1355,110.17500305175781,331.0899963378906,3.00512808864958,-18.8138793107143
1356,110.125,330.8999938964844,3.0047672544516173,-18.76560374391596
1357,110.55000305175781,332.07501220703125,3.0038444417912755,-18.73600849375083
1358,110.08000183105469,331.5199890136719,3.0116277570786405,-19.513140073559555
1359,109.61740112304688,329.9150085449219,3.009695588153821,-19.21933862753974
1360,109.43000030517578,328.45001220703125,3.001462225085056,-18.285504514396337
1361,111.0999984741211,328.19000244140625,2.9540054630860566,-13.29211122986419
1362,112.52999877929688,329.70001220703125,2.929885504163793,-10.748978900832867
1363,113.66000366210938,331.0350036621094,2.9125021379219427,-8.881124635446895
1364,114.33999633789062,331.75,2.9014344116264663,-7.66877387537437
1365,114.88030242919922,332.864990234375,2.897494028095198,-7.252339707421754
1366,115.50700378417969,333.62200927734375,2.8883271000666193,-6.2330586800648575
1367,115.37999725341797,332.75,2.883948759932413,-5.721032204307505
1368,117.66000366210938,344.9100036621094,2.9314124845058322,-11.418666650336604
1369,118.31999969482422,348.7699890136719,2.947684160862354,-13.407982679088093
1370,117.80500030517578,348.4549865722656,2.9578964022714427,-14.55267622330598
1371,117.44000244140625,346.8550109863281,2.953465631605234,-13.987237623653982
1372,116.51000213623047,345.33990478515625,2.964036550109785,-15.108091268999658
1373,115.63999938964844,342.67999267578125,2.9633344386411022,-14.91408405620075
1374,114.62999725341797,342.0400085449219,2.983861264418927,-17.136814121437567
1375,114.86499786376953,340.610107421875,2.965308089987868,-15.040835611806642
1376,114.58000183105469,339.989990234375,2.9672716425304446,-15.22850106101356
1377,115.18000030517578,338.30999755859375,2.937228656556891,-11.847894012362758
