,ba,noc,Ratio,Spread
1401,144.9499969482422,522.8599243164062,3.6071744417014764,-102.45305778299424
1402,146.27999877929688,525.1699829101562,3.5901694510027844,-100.87883770962868
1403,145.1699981689453,526.1199951171875,3.624164784412974,-105.07061364254498
1404,146.19000244140625,526.2249755859375,3.5995961885071543,-102.19666525317088
1405,146.63999938964844,526.3200073242188,3.5891981008926037,-100.97747808925853
1406,146.6199951171875,526.9000244140625,3.593643718190908,-101.61591778195653
1407,148.3699951171875,533.27001953125,3.594190450097783,-102.87502695242183
1408,144.8800048828125,531.9299926757812,3.671521084679957,-111.72753840727587
1409,141.38499450683594,531.010009765625,3.755773458264348,-121.01475516239209
1410,137.48809814453125,530.2949829101562,3.8570246448001315,-131.68063850917238
1411,132.8571014404297,530.0800170898438,3.9898508347897415,-144.99052753132239
1412,133.16000366210938,531.1599731445312,3.988885239837768,-145.18585575285923
1413,133.91000366210938,531.02001953125,3.9654992532981703,-142.85552244812558
1414,141.8350067138672,533.719970703125,3.762963622794705,-122.41045263430955
1415,141.8040008544922,530.5499877929688,3.741431726862039,-119.33102253040796
1416,139.64999389648438,525.3200073242188,3.761690155988209,-120.39183285641452
1417,141.2050018310547,527.260009765625,3.734003774147232,-117.79042489791398
1418,140.5675048828125,533.0,3.7917725042096206,-125.39222895734567
1419,140.28500366210938,534.6849975585938,3.811419493180017,-127.9022730981243
1420,139.74000549316406,535.9500122070312,3.8353369911184765,-130.75895830807715
1421,141.36000061035156,550.2349853515625,3.8924376271633214,-140.31272557935577
1422,142.44500732421875,553.14501953125,3.883218021620357,-140.05399086418439
1423,144.23309326171875,550.1699829101562,3.814450418198014,-131.85683807766193
1424,144.31500244140625,551.7899780273438,3.823510852597446,-133.23761692320804
1425,144.1990966796875,549.0399780273438,3.8075132970280516,-130.8261204253295
1426,144.07809448242188,549.02001953125,3.8105724642147645,-131.15954960325135
1427,143.75999450683594,548.1199951171875,3.812743573046838,-131.18853815768878
1428,141.7449951171875,551.1699829101562,3.888461687514802,-140.12334427249064
1429,142.5720977783203,548.1699829101562,3.8448615925009673,-134.70778577690194
1430,142.6199951171875,548.010009765625,3.8424486644761,-134.4079281545983
1431,143.5399932861328,548.3400268554688,3.820120193000198,-132.05108483720048
1432,143.72999572753906,548.2650146484375,3.8145483263476394,-131.42116931152574
1433,143.58999633789062,547.9099731445312,3.815794882083637,-131.4749969008217
1434,142.5399932861328,549.280029296875,3.8535151899036353,-135.91159353387658
1435,143.0,544.0499877929688,3.8045453691815996,-129.33809954465508
1436,143.69000244140625,539.7750244140625,3.7565245684658635,-123.0479797194704
1437,144.42999267578125,538.6599731445312,3.729557574331003,-119.77178234160841
1438,143.75,539.010009765625,3.7496348505434782,-122.10774182585898
1439,143.48829650878906,536.010009765625,3.7355660552621646,-119.87204850896644
1440,143.47999572753906,535.614990234375,3.7330290366852226,-119.5012714612807
1441,143.4199981689453,535.7100219726562,3.735253303668312,-119.77152644473593
1442,142.6999969482422,536.1199951171875,3.7569727160655804,-122.28426765813255
1443,150.2899932861328,535.4500122070312,3.562778868368191,-99.44765296569172
1444,147.35000610351562,533.5499877929688,3.6209702456214474,-106.13387950887581
1445,149.4499969482422,534.1500244140625,3.574105288199172,-100.6008797319363
1446,153.1699981689453,537.989990234375,3.512371852619442,-93.57655871757397
1447,149.13299560546875,532.1699829101562,3.568425489943296,-99.54664263252882
1448,147.32000732421875,530.22998046875,3.59917155924267,-102.90148380724402
1449,153.40499877929688,529.1900024414062,3.4496268482277403,-84.09025017208127
1450,156.0,529.1799926757812,3.392179440229367,-76.50152310896
1451,158.25999450683594,527.5250244140625,3.3332809473292153,-68.24622675315148
1452,155.02000427246094,529.0999755859375,3.4131077345088894,-79.28358967153174
1453,157.47999572753906,530.0800170898438,3.366014931870784,-73.07921074297202
1454,158.11399841308594,530.9199829101562,3.3578303517635657,-72.06756775428705
1455,156.66000366210938,525.8200073242188,3.356440667895863,-71.21399293370605
1456,160.8000030517578,519.1699829101562,3.2286689866731373,-52.473074405362084
