,goog,adbe,Ratio,Spread
171,134.3564910888672,528.260009765625,3.93177884808125,-70.5671365809813
172,135.36349487304688,530.1300048828125,3.9163439550670924,-68.98099355651755
173,134.5500030517578,527.3900146484375,3.9196581396253447,-69.03298896871956
174,135.67349243164062,534.489990234375,3.9395314490314233,-72.2770361474802
175,135.24200439453125,532.239990234375,3.9354636351122956,-71.5079464341627
176,135.92550659179688,534.3800048828125,3.931418158974604,-71.30211288323471
177,136.7262420654297,534.5050048828125,3.909308094835428,-68.67890830319936
178,136.833251953125,534.7100219726562,3.9077491350993543,-68.5166567092428
179,136.4427490234375,531.4099731445312,3.8947468952948765,-66.55685316214124
180,137.11366271972656,533.9213256835938,3.8940052733838786,-66.7655625017149
181,137.864501953125,535.5399780273438,3.8845385899949174,-65.80725917403169
182,146.57749938964844,534.3101196289062,3.645239698137736,-34.67351834578904
183,147.43174743652344,531.364990234375,3.6041422520828057,-28.79652384447389
184,148.93350219726562,531.339111328125,3.5676265144450503,-23.616471746873408
185,148.45175170898438,532.489990234375,3.586956597711527,-26.420766721131777
186,148.43055725097656,530.2100219726562,3.5721082760347036,-24.213539968296352
187,148.5279998779297,531.77001953125,3.5802678280748035,-25.439104642996092
188,148.0,533.0900268554688,3.6019596409153296,-28.571260586285355
189,148.70550537109375,522.0399780273438,3.510562549278831,-15.099846455980078
190,146.16549682617188,514.635009765625,3.5209062394366404,-16.412442666350906
191,146.15200805664062,515.01611328125,3.5238387766910297,-16.839840993964977
192,145.68800354003906,516.1599731445312,3.5429133532101447,-19.576210967852667
193,145.44876098632812,516.52001953125,3.551216359827237,-20.757361831015835
194,144.21749877929688,515.9949951171875,3.577894496054463,-24.458152992771552
195,142.65049743652344,510.8299865722656,3.5809898721143583,-24.671250462803478
196,142.08799743652344,512.4500122070312,3.606567911803837,-28.221832601150204
197,141.395751953125,512.1500244140625,3.6221033329477152,-30.29770084382495
198,141.70799255371094,514.1900024414062,3.6285180050554673,-31.266037765136282
199,143.4499969482422,516.7266235351562,3.602137570777328,-27.823924791101213
200,143.40699768066406,516.2025756835938,3.5995633688187496,-27.447454745178113
