,ibm,avgo,Ratio,Spread
820,142.6199951171875,504.30999755859375,3.536039930054787,69.28568370617205
821,142.7635955810547,504.3900146484375,3.5330436488065877,69.78728368130334
822,142.8092041015625,503.9599914550781,3.5289041390964813,70.40203255814055
823,142.30999755859375,502.06500244140625,3.5279671917265647,70.27511275258786
824,141.5800018310547,500.0199890136719,3.5317133955849096,69.3634646134887
825,141.8800048828125,498.44000244140625,3.5131095664473566,72.158537054894
826,141.0500030517578,492.0450134277344,3.488443833972695,75.19181527807433
827,139.8199005126953,490.3500061035156,3.507011550612518,71.90460590799631
828,139.6199951171875,487.4364929199219,3.4911653772140654,74.00845325711572
829,140.30999755859375,490.489990234375,3.495759381148484,73.74963490113367
830,141.08680725097656,491.0150146484375,3.4802333699066597,76.37088008231223
831,141.1199951171875,490.6700134277344,3.4769701701043636,76.85030029316732
832,140.7100067138672,490.54998779296875,3.4862480590346263,75.30977243533772
833,140.3000030517578,483.1400146484375,3.4436208420480448,81.05913028543915
834,141.11590576171875,491.57000732421875,3.4834486209815303,75.93374350502285
835,142.2899932861328,492.510009765625,3.461311638234673,79.74908322327047
836,142.0399932861328,490.114990234375,3.4505421951623276,81.13154149720987
837,141.76499938964844,489.8500061035156,3.455366333104108,80.28273296576134
838,141.07000732421875,485.57000732421875,3.4420499192875322,81.74784358668848
839,141.3300018310547,486.05499267578125,3.439149411862383,82.3158996940686
840,139.72000122070312,473.3699951171875,3.3879902016995223,88.48000028350822
841,139.72999572753906,472.8500061035156,3.384026483658746,89.04046949881212
842,139.9600067138672,471.44000244140625,3.3683908247104717,91.38207401496817
843,139.77999877929688,472.80499267578125,3.382493896156833,89.28800753837555
844,140.8300018310547,477.3599853515625,3.389618541113297,88.98578450366603
845,140.85000610351562,477.6549987792969,3.3912316512663225,88.77179328103017
846,141.1300048828125,477.8299865722656,3.3857434283307257,89.73086915210257
847,136.74000549316406,466.80999755859375,3.413850949288799,82.9702849594724
848,136.39999389648438,464.885009765625,3.4082480246914963,83.51814247310432
849,135.89999389648438,470.42999267578125,3.4615895055455987,75.94803704832674
850,135.6999969482422,469.55499267578125,3.460243207336813,76.01300040284508
851,136.08999633789062,469.8599853515625,3.452568138696779,77.28760081639513
852,137.20089721679688,474.1549987792969,3.4559176244311636,77.49200815143212
853,137.6199951171875,476.3500061035156,3.461342995237643,76.99445001503653
854,138.16000366210938,480.57000732421875,3.478358385828676,74.9616157191519
855,137.55499267578125,481.7300109863281,3.5020903394017218,71.35116931702981
856,137.5,482.9700012207031,3.5125090997869317,69.88844527092698
857,137.5500030517578,481.7300109863281,3.5022173776692758,71.33096011713104
858,137.83999633789062,482.2799987792969,3.498839317994988,71.95551618983546
