,meta,tmus,Ratio,Spread
167,301.6600036621094,108.62000274658203,0.3600742605183011,135.20192990739565
168,305.8900146484375,108.12999725341797,0.35349305984274404,139.12228676513018
169,307.0,107.58999633789062,0.3504560141299369,140.56243658752618
170,308.7300109863281,107.5199966430664,0.34826545142003656,142.0353984890335
171,309.6700134277344,107.83999633789062,0.3482416496974013,142.47769909744716
172,311.010009765625,107.88999938964844,0.3469020160185635,143.51437366450864
173,310.135986328125,107.5199966430664,0.3466866193635132,143.17558215471988
174,312.94000244140625,108.16000366210938,0.3456253684997042,144.8095078823201
175,314.3500061035156,106.94999694824219,0.3402258465775995,147.16296505104413
176,315.8800048828125,107.7699966430664,0.34117384759142233,147.5837265309109
177,316.3800048828125,108.0199966430664,0.3414248529488364,147.73920436248835
178,316.3500061035156,108.05000305175781,0.341552081451207,147.68487027383838
179,316.05999755859375,108.29000091552734,0.3426248236158126,147.20968833820115
180,317.900390625,109.06999969482422,0.343094890447885,147.92216673853756
181,318.9700012207031,109.55000305175781,0.3434492354532033,148.30957015155997
182,322.30999755859375,109.63500213623047,0.3401538983174097,150.9331600122165
183,319.1650085449219,109.80000305175781,0.34402268454282536,148.21771244549183
184,322.510009765625,110.25,0.34184985476922425,150.4803631804391
185,321.92999267578125,109.83000183105469,0.3411611354325272,150.42999320564894
186,321.8362121582031,109.47000122070312,0.3401419637852673,150.71394197417692
187,323.55999755859375,109.72000122070312,0.3391024911873843,151.86185550668756
188,322.989990234375,109.58000183105469,0.33926748550795294,151.53960422872098
189,245.89999389648438,119.76219940185547,0.4870362032309416,78.84083755511291
190,242.7899932861328,120.68499755859375,0.4970756657848089,75.39596679099468
191,241.40499877929688,120.80000305175781,0.5004039007584864,74.15779215907351
192,238.87229919433594,121.26000213623047,0.5076352617914005,71.64388600310654
193,239.10499572753906,120.95999908447266,0.5058865404146845,72.13259562626196
194,236.39999389648438,121.2249984741211,0.5127961150760584,69.6739596828752
195,237.83999633789062,120.81999969482422,0.5079885702789014,71.24673659698745
196,232.5399932861328,120.125,0.5165778079824322,67.6436688022501
197,231.49000549316406,119.88999938964844,0.5179057261424136,67.02717586565008
198,233.96499633789062,120.19999694824219,0.5137520519293843,68.72428614884403
199,235.77000427246094,120.38999938964844,0.5106247495780809,69.9980651140172
200,237.82000732421875,121.23999786376953,0.5097973010255764,70.81052822420405
201,238.74000549316406,122.0,0.5110161564585088,70.79660381317196
202,237.0800018310547,120.94999694824219,0.5101653282187514,70.5004174942842
203,231.2949981689453,121.81999969482422,0.5266867016546677,64.93903326654241
204,228.57000732421875,121.94999694824219,0.5335345541432314,62.59918925554804
