,t,meta,Ratio,Spread
1064,18.094999313354492,177.42999267578125,9.805471091940532,-11.513462156057905
1065,18.045000076293945,178.9499969482422,9.916874269417828,-13.518736991544763
1066,18.030000686645508,178.55999755859375,9.903493663805008,-13.274315068427008
1067,18.059999465942383,178.4199981689453,9.87929144214043,-12.843160745717178
1068,18.060100555419922,177.72999572753906,9.841030241340569,-12.152177174386459
1069,18.040000915527344,178.01499938964844,9.86779325695199,-12.63225908449946
1070,17.9955997467041,178.3300018310547,9.909644821018864,-13.378199705377746
1071,18.1299991607666,181.64999389648438,10.019305146443457,-15.39377028026582
1072,18.09000015258789,178.5,9.867329933353506,-12.631989131825101
1073,18.110000610351562,178.48500061035156,9.855604339865712,-12.422874112212163
1074,18.135000228881836,178.6999969482422,9.853873432195728,-12.395235168589814
1075,18.095600128173828,177.3000030517578,9.79796203474411,-11.377641288143685
1076,18.05500030517578,177.36590576171875,9.823644572903923,-11.837587990039061
1077,18.049999237060547,177.49000549316406,9.833241717192916,-12.010225884918192
1078,18.135000228881836,180.13999938964844,9.933278032318805,-13.835237609996064
1079,18.16010093688965,180.39999389648438,9.933865154352066,-13.851615705394558
1080,18.15999984741211,180.14700317382812,9.919989244906297,-13.599606112662805
1081,18.200000762939453,179.97000122070312,9.888461191011316,-13.034372899608776
1082,18.174999237060547,179.72999572753906,9.88885850190588,-13.037021199843032
1083,18.209999084472656,180.2100067138672,9.89621173938054,-13.177339089675947
1084,18.260000228881836,180.5,9.884994399644269,-12.982043300897494
1085,18.3700008392334,178.7949981689453,9.732988023990021,-10.209424016923357
1086,18.375,179.89999389648438,9.790475858312075,-11.265900092913974
1087,18.413000106811523,180.85000610351562,9.821865261197374,-11.847100007766791
1088,18.375,181.0500030517578,9.853061390571854,-12.415909248187411
1089,18.439899444580078,180.9031982421875,9.810422165580693,-11.639219027099593
1090,18.415000915527344,181.08999633789062,9.83383042816997,-12.067671274391195
1091,18.38759994506836,180.89999389648438,9.838151495405064,-12.143610578175704
1092,18.452999114990234,178.0,9.64612846349742,-8.60888115620751
1093,18.655000686645508,178.7899932861328,9.584025017705981,-7.438336198715355
1094,18.66010093688965,178.8292999267578,9.583511929092808,-7.4281420578674116
1095,18.559999465942383,179.55999755859375,9.674569112358355,-9.130380457565032
1096,18.645000457763672,180.38999938964844,9.674979617098108,-9.135400117213216
1097,18.604999542236328,179.3699951171875,9.640956706824362,-8.503627104681307
1098,18.56999969482422,179.47999572753906,9.665051086541657,-8.95332081152808
1099,18.415000915527344,175.75,9.54384964769724,-6.72767493650057
1100,18.405000686645508,174.8699951171875,9.501221874122042,-5.944727868670334
1101,18.514999389648438,174.94000244140625,9.448555668827813,-4.947136251855007
1102,18.565000534057617,175.7100067138672,9.4645839837993,-5.231851449404651
1103,18.559999465942383,177.14999389648438,9.544719773379024,-6.720376795455657
1104,18.440000534057617,175.8350067138672,9.535520695300962,-6.570046368854811
1105,18.420000076293945,174.85000610351562,9.492399857725461,-5.779161388467749
1106,18.399999618530273,173.41000366210938,9.42445691615513,-4.533274577026027
1107,18.475000381469727,175.4499969482422,9.496616688799481,-5.845343506734601
1108,18.424999237060547,174.5251007080078,9.472190389943858,-5.40573634141149
1109,18.485000610351562,175.2899932861328,9.48282323496223,-5.588282029642961
1110,18.488300323486328,175.2899932861328,9.4811307810408,-5.5562564679570485
1111,18.469999313354492,175.2899932861328,9.49052516528204,-5.7338780080590155
1112,18.440000534057617,174.66000366210938,9.471800358114004,-5.395043317096999
1113,18.434999465942383,168.77000427246094,9.154868953712418,0.4464179091176206
1114,18.354999542236328,168.15060424804688,9.161024703984264,0.2893739255590262
1115,18.354999542236328,167.6300048828125,9.13266189394788,0.8099732907934012
