,abt,unh,Ratio,Spread
663,108.47000122070312,521.0700073242188,4.803816736979669,-13.421599175879706
664,108.26000213623047,519.1799926757812,4.795676911427213,-12.523542280622351
665,109.16000366210938,513.5,4.704103909610269,-2.5922763494771877
666,109.56999969482422,514.0850219726562,4.6918410459477276,-1.24062919595191
667,109.99500274658203,517.6900024414062,4.7064865631588235,-2.838052949037901
668,109.48999786376953,516.9500122070312,4.721435951165463,-4.4835183948989785
669,109.81999969482422,520.0700073242188,4.73565842988005,-6.044707312048231
670,110.0,521.6799926757812,4.7425453879616475,-6.804438012537971
671,110.70999908447266,522.469970703125,4.719266326652898,-4.240643815769331
672,110.80000305175781,526.3099975585938,4.750090099841779,-7.65552532648725
673,110.26000213623047,524.3900146484375,4.7559405449723595,-8.286306369549393
674,109.97000122070312,524.27001953125,4.767391231351102,-9.536167970114107
675,109.19999694824219,523.1099853515625,4.790384615115899,-12.013348257182443
676,108.54499816894531,519.7000122070312,4.787876189358279,-11.69734630342397
677,108.94999694824219,520.3499755859375,4.776043966601808,-10.434245727023622
678,109.23999786376953,521.4099731445312,4.773068320586829,-10.124386567865159
679,108.19999694824219,528.4500122070312,4.884011341144649,-22.077004054515797
680,108.38999938964844,528.9000244140625,4.879601691967294,-21.62951523029558
681,108.29000091552734,527.719970703125,4.873210511049659,-20.921817205858773
682,108.29499816894531,529.0399780273438,4.885174633846121,-22.218219359202592
683,107.91500091552734,526.6599731445312,4.880322185761598,-21.633180500464235
684,107.66999816894531,526.52001953125,4.890127505204243,-22.650528951774234
685,108.5,529.3499755859375,4.878801618303571,-21.559864335491184
686,108.69049835205078,536.1400146484375,4.932722020575054,-27.450059868866575
687,108.75,535.1649780273438,4.921057269216954,-26.193959541431255
688,109.33499908447266,535.7000122070312,4.899620585290784,-23.965675114739398
689,109.7699966430664,536.969970703125,4.891773591368171,-23.18086655341928
690,109.49500274658203,535.5449829101562,4.891044974441756,-23.05484788872026
691,109.23999786376953,533.0700073242188,4.879806094366617,-21.78442074755266
692,109.0199966430664,531.3099975585938,4.873509575478277,-21.063615115286453
693,109.125,532.1500244140625,4.876517978593929,-21.407645074950793
694,108.86190032958984,531.4299926757812,4.881689471402079,-21.93039855441397
695,108.88999938964844,529.1400146484375,4.859399555646796,-19.50769099373828
696,108.81999969482422,529.6500244140625,4.867212147577814,-20.348353343756585
697,108.87000274658203,531.22998046875,4.879488996664216,-21.692113535979402
698,110.6050033569336,537.4299926757812,4.859002543867207,-19.696626645801203
699,109.94999694824219,534.6099853515625,4.862301047659188,-19.97062655078402
700,108.87999725341797,533.5684814453125,4.900518873117098,-23.98340417079193
701,110.38999938964844,538.947509765625,4.882213178236176,-22.229742698128817
702,110.55999755859375,542.6400146484375,4.908104437690977,-25.11923931004732
703,110.69000244140625,542.1699829101562,4.898093512981481,-24.035112744729204
704,111.20999908447266,543.9400024414062,4.891106977064548,-23.348861083118223
705,110.70500183105469,543.5999755859375,4.910347017703117,-25.39425386945676
706,110.36000061035156,541.4000244140625,4.905763151683783,-24.823960448673702
707,109.16000366210938,539.9500122070312,4.946408886888429,-29.04228855650844
708,108.91999816894531,537.8900146484375,4.938395369912867,-28.115987891630894
709,108.69000244140625,539.6099853515625,4.964669916558895,-30.922373069864662
710,108.80000305175781,540.0900268554688,4.964062607595146,-30.882812507091458
711,108.81500244140625,540.3900146484375,4.9661352067645455,-31.11194874900663
712,109.11000061035156,542.8350219726562,4.975117028100869,-32.163494184598235
713,108.87000274658203,542.469970703125,4.982731303551435,-32.9321037703544
714,108.48500061035156,538.9000244140625,4.9675072257191015,-31.180764714669877
715,109.2699966430664,540.1400146484375,4.943168584628225,-28.712724969664137
716,109.01499938964844,538.6300048828125,4.940879767907959,-28.407227610380133
717,109.40499877929688,535.3900146484375,4.893652215366154,-23.32502497175234
718,109.44000244140625,532.0399780273438,4.861476298962949,-19.809644039247488
719,109.69999694824219,534.1599731445312,4.869279744798485,-20.701521579218948
720,109.5,534.9600219726562,4.885479652718322,-22.44628178034533
721,110.03130340576172,538.9567260742188,4.898212684863975,-23.93330573754055
722,110.16000366210938,538.1300048828125,4.884985357602232,-22.498652290425085
723,110.48999786376953,538.6099853515625,4.874739757128519,-21.419862597565626
724,110.22000122070312,536.72998046875,4.869624156454224,-20.815221672147928
725,109.58999633789062,536.280029296875,4.893512612623902,-23.341179798242038
726,108.91500091552734,535.8599853515625,4.919983297499732,-26.109563765630938
727,108.66999816894531,535.6699829101562,4.929327247041723,-27.076863388815823
728,109.0,537.5499877929688,4.9316512641556765,-27.398062071590076
729,109.37000274658203,540.5,4.9419400788749765,-28.600318596297043
730,109.54000091552734,539.7100219726562,4.92705876813766,-27.007332298059296
731,109.86000061035156,541.97998046875,4.933369538118152,-27.765730974293447
732,109.77999877929688,542.3800048828125,4.940608589122143,-28.543654352928016
733,109.57499694824219,542.9199829101562,4.954779813195932,-30.05198496257698
734,109.56999969482422,540.6900024414062,4.934653682096769,-27.84560966470191
735,109.80000305175781,534.2761840820312,4.865903180623618,-20.345340791789354
736,109.98999786376953,533.3499755859375,4.849077061048129,-18.521667302872984
737,110.22000122070312,535.6199951171875,4.859553521911771,-19.705236320585428
738,109.92500305175781,534.47998046875,4.862223931138686,-19.95868356077507
739,109.69000244140625,534.1900024414062,4.869997178883806,-20.778761217843808
740,109.87000274658203,535.239990234375,4.8715752876508045,-20.9784943597398
741,109.72000122070312,533.9299926757812,4.866295905354344,-20.377048350111423
