,ibm,ma,Ratio,Spread
109,131.15411376953125,343.67791748046875,2.6204127922696503,-1.8598508879099613
110,133.5939178466797,348.7918395996094,2.6108362208517875,-0.566222078677602
111,135.9166259765625,356.65704345703125,2.6240869422298143,-2.3313989817365455
112,135.49696350097656,356.7467346191406,2.632876231330228,-3.5232313814270997
113,136.07276916503906,355.9393005371094,2.615801109371119,-1.2035840229763908
114,136.7754364013672,361.9403991699219,2.6462383063272314,-5.359298370779546
115,137.78062438964844,356.6969299316406,2.5888758416632602,2.524052195607662
116,139.43971252441406,359.0096435546875,2.5746585176861263,4.568529306742543
117,139.34210205078125,362.87744140625,2.6042196584202846,0.4443813298552568
118,137.43907165527344,361.1927490234375,2.628020872619004,-2.868771930622434
119,134.63816833496094,347.90460205078125,2.583996843935393,3.063484936576212
120,132.91078186035156,333.6993408203125,2.5107018117681985,12.732186484769766
121,131.85678100585938,318.7364501953125,2.417292821528448,24.92700068225569
122,132.45208740234375,321.12890625,2.424491093707879,24.09797182616442
123,133.7598419189453,324.36871337890625,2.425008199213218,24.292663288935255
124,132.40330505371094,307.8108215332031,2.3247971144552326,37.287941590536185
125,131.76895141601562,309.7148132324219,2.3504384751048275,33.717974627893035
126,134.53082275390625,316.4037780761719,2.3519054711719196,34.282391898263974
127,133.7793426513672,315.15771484375,2.3558025372053146,33.55487574626827
128,135.10659790039062,315.76580810546875,2.337160531110937,36.432494998403435
129,138.63943481445312,329.462646484375,2.3763992324789007,32.01379196672091
130,139.3616180419922,327.79791259765625,2.3521391126420816,35.575164134117394
131,138.4442596435547,317.2909851074219,2.291832004622905,43.67287331349909
132,137.3219451904297,321.5774841308594,2.3417778104214544,36.43888884096257
133,137.79039001464844,314.48980712890625,2.2823783799107686,44.75682203292198
134,137.72207641601562,317.24114990234375,2.303487996681496,41.82607023789948
135,134.30633544921875,318.2579650878906,2.369642236335337,31.838643679138936
136,134.75527954101562,319.16510009765625,2.3684793737562733,32.11055093720277
137,137.43907165527344,323.5480041503906,2.35411954005276,34.77597294242444
138,137.08773803710938,322.53961181640625,2.3527969491268097,34.861673133904084
139,137.60496520996094,323.6678161621094,2.352152160121906,35.0918399306323
140,135.8287811279297,322.3399353027344,2.3731342696739657,31.755006081815548
141,133.87693786621094,322.84912109375,2.4115364919414812,26.1197795481015
142,135.711669921875,324.5064697265625,2.3911463908252752,29.28090761048581
143,136.55096435546875,332.0343322753906,2.4315780839968335,23.957247389836976
144,134.80406188964844,330.4768371582031,2.4515347128689178,20.926928829080946
145,127.72864532470703,339.83172607421875,2.660575669696575,-7.009817705724761
146,126.06956481933594,340.72027587890625,2.7026370430260123,-12.255538207848208
147,124.08844757080078,346.3612060546875,2.7912445746173526,-23.09939011983035
148,125.1619644165039,343.32611083984375,2.743054668727879,-17.244964481804193
149,125.4449691772461,343.6555480957031,2.739492467092393,-16.831158690235345
150,124.99605560302734,340.73028564453125,2.725928302302996,-15.084858359909862
151,126.0110092163086,342.7170715332031,2.719739121721501,-14.40611588589589
152,126.10860443115234,351.8822937011719,2.79031153574678,-23.315028002031415
153,127.64079284667969,353.22015380859375,2.767298337239857,-20.628968567590295
154,128.86070251464844,349.9753723144531,2.7159201019773205,-14.180391572517426
155,128.63624572753906,348.4478454589844,2.7087843203774953,-13.2423457774719
156,129.15347290039062,353.5596008300781,2.7375152436106793,-16.995730006134313
157,128.4703369140625,355.4964599609375,2.7671481876687167,-20.726679352843195
158,129.29010009765625,356.93414306640625,2.7607229230761243,-20.011454199292547
159,129.41697692871094,351.5927734375,2.716743828989099,-14.336873488304793
160,127.94454193115234,345.9818115234375,2.704154521180061,-12.592903323269258
161,129.95062255859375,352.810791015625,2.714960375480658,-14.15340084711092
162,130.97836303710938,350.0152893066406,2.6723138172636403,-8.65878918953759
163,132.43104553222656,353.6993408203125,2.6708189110705254,-8.527724088969553
164,133.34019470214844,359.3702087402344,2.695137873039599,-11.810933236482544
165,134.9510040283203,358.67132568359375,2.657789234441889,-6.881651972864707
166,136.16650390625,354.75762939453125,2.6053223018693363,0.22425857807756255
167,137.4314422607422,356.78436279296875,2.5960897806490206,1.5195775540807217
168,136.7396697998047,353.7093505859375,2.5867354448331623,2.777817949055854
169,133.95291137695312,344.9534912109375,2.5751847247292265,4.214935345247606
170,133.15245056152344,340.3409118652344,2.5560243948193726,6.725299398718202
171,131.6602325439453,339.1628112792969,2.5760459686723682,3.984452953858617
172,132.40139770507812,344.1148376464844,2.599027227892219,0.9789162908135536
173,128.8438262939453,331.42529296875,2.572302472705473,4.325366491552226
174,128.77464294433594,328.8194885253906,2.553449040953862,6.7494777243093536
175,128.05323791503906,327.281982421875,2.5558274648160046,6.392389295215348
176,126.93655395507812,323.8475036621094,2.551254887356691,6.894169724256964
177,128.13230895996094,324.7261047363281,2.534303076032129,9.155927813876684
178,126.28433227539062,322.0404357910156,2.550121855882612,6.988336273343331
179,125.22694396972656,323.5579833984375,2.5837728937684306,2.693815923287427
180,126.20527648925781,328.0906677246094,2.5996588799719116,0.7304835801266831
181,126.9563217163086,329.538330078125,2.5956827168835113,1.2552585165199543
182,127.66783905029297,335.30902099609375,2.6264172989095824,-2.646805491351377
183,129.1205291748047,337.8749084472656,2.6167404254504496,-1.3975562915375308
184,125.75069427490234,324.9158020019531,2.5838092097659353,2.7114998798327106
185,126.18551635742188,325.32513427734375,2.578149566356385,3.4441218558594455
186,124.01142883300781,316.4494323730469,2.55177635925132,6.610112613306778
187,125.77045440673828,314.6224060058594,2.5015605413047086,13.056791047459324
188,126.22504425048828,313.524169921875,2.483850742802668,15.348896591139674
189,124.8118896484375,312.765380859375,2.50589412387196,12.396379419211183
190,123.4580307006836,304.009521484375,2.462452379638449,17.596658147872727
191,123.83354949951172,297.87939453125,2.405482163235776,24.7129937275793
192,121.26419067382812,293.1070861816406,2.417095142044275,22.737507168970506
193,120.57244110107422,289.6427001953125,2.4022297097933767,24.38518145347977
194,120.30561828613281,286.0185546875,2.3774330639092716,27.308581851632862
195,121.3135986328125,289.71258544921875,2.3881295148626336,26.261765866970205
196,120.19690704345703,286.3080749511719,2.3819920328537036,26.73355799754732
197,117.4101333618164,283.8819885253906,2.4178661619484494,21.840862371028816
198,120.07833099365234,290.0121154785156,2.415191093002837,22.718106367515002
199,124.02131652832031,300.78472900390625,2.4252663769717517,22.300783604959616
200,124.25848388671875,303.71002197265625,2.4441793628315627,19.998352915078254
201,120.78984832763672,299.2300109863281,2.477277810422288,15.36883776979992
202,117.4200210571289,294.9700012207031,2.5120929000446184,10.778817298228471
203,116.36262512207031,291.7799987792969,2.5075061556337768,11.191826960254996
204,116.41204071044922,286.04998779296875,2.457219940886173,17.051615948906754
205,116.18474578857422,283.3800048828125,2.439046562949751,19.124664129215017
206,120.35502624511719,293.9599914550781,2.4424405081046965,19.49690304963256
207,118.62564849853516,288.69000244140625,2.4336221221582712,20.225102790384465
208,120.08820343017578,295.0400085449219,2.456860874902423,17.716140850129403
209,121.4914779663086,300.3800048828125,2.4724368318748446,16.061503160900866
210,121.06654357910156,297.760009765625,2.459473946830544,17.56551164918316
211,126.788330078125,296.2799987792969,2.3368081163048187,34.07240071033588
212,128.3694610595703,302.3699951171875,2.355466733453618,32.13485963839438
213,131.12660217285156,305.6000061035156,2.3305721420331826,36.14580798381255
214,131.36376953125,311.4100036621094,2.370592780439574,30.958672704087444
215,133.4192657470703,319.510009765625,2.3947816529835833,28.256926571241234
216,133.18209838867188,319.3699951171875,2.3979949180944296,27.774078940810096
217,136.87802124023438,329.4700012207031,2.40703363648464,27.380513662003107
218,136.66061401367188,328.17999267578125,2.401423373108431,28.099555099589207
219,136.57167053222656,333.19000244140625,2.4396714277781646,22.855956951829153
220,135.2178192138672,319.82000732421875,2.3652208649983892,32.670391459423946
221,132.88563537597656,309.1700134277344,2.3265871631120407,37.195472763304544
222,135.34629821777344,318.3699951171875,2.352262302770389,34.45782246514748
223,136.71002197265625,325.1300048828125,2.378245575498793,31.279300858135837
224,138.38999938964844,325.75,2.353855057711389,35.07135708503623
225,137.38999938964844,315.6400146484375,2.2974016744352586,42.555086095613355
226,141.22999572753906,337.2699890136719,2.3880903435296648,31.009926462124763
227,143.1699981689453,339.2900085449219,2.369840140282383,34.08485064414496
228,144.1999969482422,339.3699951171875,2.3534674223259366,36.709904897214905
229,144.33999633789062,343.510009765625,2.379867108777599,32.93756453357569
