,unp,lmt,Ratio,Spread
789,222.27999877929688,441.3399963378906,1.9855137608494398,-22.507855982968096
790,221.2100067138672,439.1099853515625,1.985036716352288,-22.30309386413333
791,221.27499389648438,434.0202941894531,1.961452067161706,-17.09039691324344
792,222.63499450683594,434.0199890136719,1.9494688603428219,-14.515923400243112
793,223.1300048828125,436.25799560546875,1.9551740512648252,-15.81698920926752
794,223.1300048828125,436.2349853515625,1.9550709263896282,-15.79397895536127
795,223.39999389648438,436.9700012207031,1.955998268393774,-16.01796772267474
796,224.58999633789062,439.0,1.9546729914877168,-15.795565596732645
797,225.3699951171875,441.0199890136719,1.9568709170195928,-16.33919633125899
798,224.65499877929688,445.6449890136719,1.983686058334618,-22.317519940246058
799,222.4600067138672,443.2699890136719,1.9925828267362016,-24.09713504281993
800,223.49000549316406,442.5586853027344,1.9802168975125423,-21.43628055605231
801,223.91000366210938,443.1449890136719,1.9791209939972056,-21.227624338325114
802,224.5800018310547,443.20001220703125,1.9734616109783378,-20.014495106335204
803,224.16000366210938,443.2690124511719,1.9774670111057788,-20.878455279140525
804,224.0,442.489990234375,1.9754017421177454,-20.402283191752502
805,225.8249969482422,443.5722961425781,1.964230276262297,-18.030289650433957
806,225.60000610351562,444.4772033691406,1.9702003162411001,-19.36105279518577
807,224.8699951171875,443.864990234375,1.9738737931801957,-20.13058254533118
808,225.15499877929688,443.93829345703125,1.971700809948225,-19.664439390236367
809,224.72999572753906,443.0400085449219,1.9714324610323057,-19.570587498766287
810,224.8699951171875,443.4200134277344,1.971894975123973,-19.685605738690555
811,225.07000732421875,443.3399963378906,1.9697870969509,-19.227011546396824
812,226.30999755859375,443.70849609375,1.9606226012126122,-17.248495002782676
813,227.1199951171875,444.7550048828125,1.9582379994915529,-16.761864723607715
814,226.67999267578125,447.2749938964844,1.9731560276526856,-20.11467715246485
815,228.10000610351562,451.4501037597656,1.979176202015926,-21.602028218965216
816,228.36000061035156,454.73748779296875,1.9913184733647067,-24.3973024529125
817,228.1699981689453,455.260009765625,1.9952667459309616,-25.279455344069476
818,228.72999572753906,456.1400146484375,1.9942291049215384,-25.099513655329048
819,221.375,449.6099853515625,2.0309880761222474,-32.49079952412782
820,223.30999755859375,450.0,2.0151359317530138,-29.218308869247352
821,221.75999450683594,450.0799865722656,2.029581519305059,-32.23209469723278
822,220.8800048828125,448.0400085449219,2.028431721479854,-31.857734618881665
823,220.7899932861328,444.8299865722656,2.014719870006917,-28.818083894879095
824,221.80999755859375,445.6400146484375,2.009106981441251,-27.69747849779216
825,221.62539672851562,443.4200134277344,2.00076354052018,-25.826884187787897
826,220.96499633789062,440.0,1.9912656180491592,-23.65685679865871
827,221.0399932861328,437.4700012207031,1.979144111963508,-20.984906046632062
828,221.38999938964844,437.489990234375,1.9761054764916846,-20.342414012394357
829,221.2899932861328,438.9700012207031,1.9836866308414827,-22.011713549947473
830,220.60499572753906,438.6499938964844,1.9883955594470966,-22.988249045623974
831,218.1300048828125,436.5,2.001100216517686,-25.522843537489877
832,216.6999969482422,432.6600036621094,1.9965851857646693,-24.389523298951445
833,210.72000122070312,428.1400146484375,2.0317958056578305,-31.188290719188302
